Maand;aandelen kopen: (Nederland)
2004-01;0
2004-02;0
2004-03;0
2004-04;0
2004-05;0
2004-06;0
2004-07;0
2004-08;0
2004-09;0
2004-10;0
2004-11;0
2004-12;0
2005-01;0
2005-02;0
2005-03;0
2005-04;0
2005-05;0
2005-06;0
2005-07;0
2005-08;9
2005-09;6
2005-10;6
2005-11;6
2005-12;6
2006-01;12
2006-02;6
2006-03;7
2006-04;6
2006-05;6
2006-06;0
2006-07;0
2006-08;6
2006-09;9
2006-10;5
2006-11;6
2006-12;5
2007-01;7
2007-02;5
2007-03;9
2007-04;4
2007-05;5
2007-06;5
2007-07;5
2007-08;5
2007-09;6
2007-10;6
2007-11;9
2007-12;5
2008-01;9
2008-02;6
2008-03;6
2008-04;5
2008-05;5
2008-06;4
2008-07;7
2008-08;3
2008-09;25
2008-10;71
2008-11;16
2008-12;9
2009-01;12
2009-02;12
2009-03;17
2009-04;10
2009-05;12
2009-06;8
2009-07;9
2009-08;12
2009-09;11
2009-10;12
2009-11;9
2009-12;9
2010-01;12
2010-02;9
2010-03;9
2010-04;7
2010-05;8
2010-06;7
2010-07;8
2010-08;7
2010-09;9
2010-10;10
2010-11;9
2010-12;5
2011-01;13
2011-02;8
2011-03;9
2011-04;9
2011-05;10
2011-06;9
2011-07;6
2011-08;18
2011-09;11
2011-10;10
2011-11;10
2011-12;10
2012-01;10
2012-02;16
2012-03;13
2012-04;8
2012-05;27
2012-06;10
2012-07;7
2012-08;11
2012-09;9
2012-10;7
2012-11;8
2012-12;7
2013-01;13
2013-02;12
2013-03;9
2013-04;8
2013-05;10
2013-06;6
2013-07;9
2013-08;13
2013-09;12
2013-10;15
2013-11;19
2013-12;12
2014-01;20
2014-02;14
2014-03;10
2014-04;9
2014-05;9
2014-06;9
2014-07;8
2014-08;10
2014-09;13
2014-10;18
2014-11;12
2014-12;17
2015-01;17
2015-02;14
2015-03;14
2015-04;12
2015-05;12
2015-06;8
2015-07;9
2015-08;14
2015-09;12
2015-10;10
2015-11;20
2015-12;10
2016-01;12
2016-02;11
2016-03;10
2016-04;8
2016-05;9
2016-06;10
2016-07;12
2016-08;7
2016-09;8
2016-10;9
2016-11;9
2016-12;9
2017-01;11
2017-02;11
2017-03;11
2017-04;9
2017-05;11
2017-06;11
2017-07;9
2017-08;12
2017-09;13
2017-10;13
2017-11;17
2017-12;24
2018-01;23
2018-02;12
2018-03;10
2018-04;8
2018-05;8
2018-06;13
2018-07;8
2018-08;10
2018-09;11
2018-10;11
2018-11;11
2018-12;11
2019-01;12
2019-02;11
2019-03;10
2019-04;11
2019-05;13
2019-06;10
2019-07;9
2019-08;11
2019-09;10
2019-10;11
2019-11;14
2019-12;11
2020-01;16
2020-02;20
2020-03;100
2020-04;37
2020-05;27
2020-06;23
2020-07;19
2020-08;20
2020-09;18
2020-10;22
2020-11;35
2020-12;39
2021-01;70
2021-02;57
2021-03;37
2021-04;39
2021-05;24
2021-06;15
2021-07;14
2021-08;16
2021-09;17
2021-10;21
2021-11;21
2021-12;16
2022-01;23
2022-02;19
2022-03;17
2022-04;14
2022-05;14
2022-06;11
2022-07;11
2022-08;12
2022-09;14
2022-10;14
2022-11;13
2022-12;11
2023-01;18
2023-02;17
2023-03;16
2023-04;11
2023-05;13
2023-06;12
2023-07;14
2023-08;15
2023-09;12
2023-10;13
2023-11;12
2023-12;13
2024-01;17
2024-02;17
2024-03;18
2024-04;21
2024-05;13
2024-06;12
2024-07;12
2024-08;14
2024-09;11
2024-10;14
2024-11;15
2024-12;16
2025-01;20
2025-02;15
2025-03;17
2025-04;23
2025-05;12
