"Issuer name","Industry","Period","Value"
"ABN Amro N.V.","Financial services","2024-12",656
"ABN Amro N.V.","Financial services","2024-11",667
"ABN Amro N.V.","Financial services","2024-10",668
"ABN Amro N.V.","Financial services","2024-09",680
"ABN Amro N.V.","Financial services","2024-08",679
"ABN Amro N.V.","Financial services","2024-07",676
"ABN Amro N.V.","Financial services","2024-06",684
"ABN Amro N.V.","Financial services","2024-05",719
"ABN Amro N.V.","Financial services","2024-04",653
"ABN Amro N.V.","Financial services","2024-03",665
"ABN Amro N.V.","Financial services","2024-02",645
"ABN Amro N.V.","Financial services","2024-01",648
"ABN Amro N.V.","Financial services","2023-12",648
"ABN Amro N.V.","Financial services","2023-11",642
"ABN Amro N.V.","Financial services","2023-10",616
"ABN Amro N.V.","Financial services","2023-09",648
"ABN Amro N.V.","Financial services","2023-08",674
"ABN Amro N.V.","Financial services","2023-07",629
"ABN Amro N.V.","Financial services","2023-06",599
"ABN Amro N.V.","Financial services","2023-05",583
"ABN Amro N.V.","Financial services","2023-04",605
"ABN Amro N.V.","Financial services","2023-03",595
"ABN Amro N.V.","Financial services","2021-02",447
"ABN Amro N.V.","Financial services","2021-01",450
"ABN Amro N.V.","Financial services","2020-12",462
"ABN Amro N.V.","Financial services","2020-11",452
"ABN Amro N.V.","Financial services","2020-10",361
"ABN Amro N.V.","Financial services","2020-09",366
"ABN Amro N.V.","Financial services","2020-08",367
"ABN Amro N.V.","Financial services","2020-07",353
"ABN Amro N.V.","Financial services","2020-06",398
"ABN Amro N.V.","Financial services","2020-05",346
"ABN Amro N.V.","Financial services","2020-04",332
"ABN Amro N.V.","Financial services","2020-03",308
"ABN Amro N.V.","Financial services","2020-03",407
"ABN Amro N.V.","Financial services","2020-01",438
"ABN Amro N.V.","Financial services","2019-12",462
"ABN Amro N.V.","Financial services","2019-11",444
"ABN Amro N.V.","Financial services","2019-10",416
"ABN Amro N.V.","Financial services","2019-09",410
"ABN Amro N.V.","Financial services","2019-08",347
