"Type of instrument","Category","Period","Value"
"Total","Total","2009-12",116836
"Investment funds","Total","2009-12",49925
"Listed shares","Total","2009-12",35913
"Bonds","Total","2009-12",30997
"Total","Total","2010-01",117675
"Investment funds","Total","2010-01",50171
"Listed shares","Total","2010-01",35645
"Bonds","Total","2010-01",31858
"Total","Total","2010-02",118524
"Investment funds","Total","2010-02",51032
"Listed shares","Total","2010-02",35717
"Bonds","Total","2010-02",31774
"Total","Total","2010-03",124020
"Investment funds","Total","2010-03",54317
"Listed shares","Total","2010-03",37646
"Bonds","Total","2010-03",32056
"Total","Total","2010-04",124601
"Investment funds","Total","2010-04",55036
"Listed shares","Total","2010-04",37861
"Bonds","Total","2010-04",31703
"Total","Total","2010-05",119910
"Investment funds","Total","2010-05",53333
"Listed shares","Total","2010-05",35964
"Bonds","Total","2010-05",30612
"Total","Total","2010-06",118336
"Investment funds","Total","2010-06",52934
"Listed shares","Total","2010-06",35208
"Bonds","Total","2010-06",30193
"Total","Total","2010-07",120312
"Investment funds","Total","2010-07",53730
"Listed shares","Total","2010-07",36284
"Bonds","Total","2010-07",30297
"Total","Total","2010-08",119917
"Investment funds","Total","2010-08",53859
"Listed shares","Total","2010-08",35560
"Bonds","Total","2010-08",30497
"Total","Total","2010-09",122703
"Investment funds","Total","2010-09",55237
"Listed shares","Total","2010-09",37061
"Bonds","Total","2010-09",30405
"Total","Total","2010-10",124125
"Investment funds","Total","2010-10",56214
"Listed shares","Total","2010-10",38001
"Bonds","Total","2010-10",29910
"Total","Total","2010-11",123948
"Investment funds","Total","2010-11",57157
"Listed shares","Total","2010-11",37661
"Bonds","Total","2010-11",29129
"Total","Total","2010-12",127491
"Investment funds","Total","2010-12",58967
"Listed shares","Total","2010-12",39465
"Bonds","Total","2010-12",29058
"Total","Total","2011-01",127192
"Investment funds","Total","2011-01",58861
"Listed shares","Total","2011-01",39805
"Bonds","Total","2011-01",28525
"Total","Total","2011-02",127962
"Investment funds","Total","2011-02",59191
"Listed shares","Total","2011-02",40373
"Bonds","Total","2011-02",28397
"Total","Total","2011-03",126993
