Maand,aandelen kopen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,10
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,8
2005-08,0
2005-09,0
2005-10,6
2005-11,9
2005-12,9
2006-01,12
2006-02,7
2006-03,7
2006-04,5
2006-05,5
2006-06,0
2006-07,0
2006-08,5
2006-09,10
2006-10,6
2006-11,7
2006-12,8
2007-01,9
2007-02,6
2007-03,8
2007-04,4
2007-05,4
2007-06,5
2007-07,7
2007-08,7
2007-09,5
2007-10,6
2007-11,10
2007-12,5
2008-01,9
2008-02,6
2008-03,7
2008-04,5
2008-05,6
2008-06,5
2008-07,8
2008-08,3
2008-09,28
2008-10,77
2008-11,18
2008-12,10
2009-01,13
2009-02,13
2009-03,18
2009-04,10
2009-05,13
2009-06,8
2009-07,9
2009-08,13
2009-09,11
2009-10,13
2009-11,10
2009-12,7
2010-01,13
2010-02,10
2010-03,10
2010-04,7
2010-05,8
2010-06,8
2010-07,8
2010-08,8
2010-09,10
2010-10,12
2010-11,11
2010-12,6
2011-01,14
2011-02,9
2011-03,10
2011-04,9
2011-05,10
2011-06,10
2011-07,7
2011-08,20
2011-09,11
2011-10,11
2011-11,11
2011-12,12
2012-01,11
2012-02,17
2012-03,13
2012-04,9
2012-05,30
2012-06,10
2012-07,9
2012-08,12
2012-09,10
2012-10,8
2012-11,9
2012-12,8
2013-01,14
2013-02,13
2013-03,10
2013-04,8
2013-05,10
2013-06,7
2013-07,9
2013-08,14
2013-09,13
2013-10,15
2013-11,21
2013-12,13
2014-01,21
2014-02,15
2014-03,10
2014-04,8
2014-05,10
2014-06,11
2014-07,9
2014-08,12
2014-09,14
2014-10,19
2014-11,13
2014-12,18
2015-01,19
2015-02,16
2015-03,15
2015-04,12
2015-05,13
2015-06,8
2015-07,9
2015-08,16
2015-09,13
2015-10,11
2015-11,21
2015-12,12
2016-01,14
2016-02,12
2016-03,10
2016-04,9
2016-05,10
2016-06,11
2016-07,12
2016-08,8
2016-09,9
2016-10,10
2016-11,10
2016-12,9
2017-01,12
2017-02,12
2017-03,11
2017-04,10
2017-05,12
2017-06,12
2017-07,10
2017-08,13
2017-09,14
2017-10,14
2017-11,18
2017-12,25
2018-01,25
2018-02,12
2018-03,11
2018-04,9
2018-05,9
2018-06,14
2018-07,9
2018-08,11
2018-09,12
2018-10,13
2018-11,12
2018-12,12
2019-01,13
2019-02,12
2019-03,11
2019-04,11
2019-05,14
2019-06,10
2019-07,10
2019-08,12
2019-09,11
2019-10,11
2019-11,15
2019-12,12
2020-01,17
2020-02,22
2020-03,100
2020-04,41
2020-05,30
2020-06,25
2020-07,21
2020-08,21
2020-09,20
2020-10,24
2020-11,38
2020-12,42
2021-01,76
2021-02,63
2021-03,41
2021-04,45
2021-05,26
2021-06,17
2021-07,15
2021-08,18
2021-09,17
2021-10,23
2021-11,23
2021-12,17
2022-01,26
2022-02,20
2022-03,18
2022-04,15
2022-05,15
2022-06,12
2022-07,12
2022-08,14
2022-09,15
2022-10,16
2022-11,15
2022-12,12
2023-01,20
2023-02,18
2023-03,17
2023-04,12
2023-05,15
2023-06,14
2023-07,16
2023-08,17
2023-09,13
2023-10,14
2023-11,14
2023-12,14
2024-01,19
2024-02,18
2024-03,20
2024-04,22
2024-05,14
2024-06,13
2024-07,14
2024-08,15
2024-09,13
2024-10,15
2024-11,16
2024-12,18
2025-01,21
2025-02,16
2025-03,19
2025-04,25
2025-05,14
