Maand,etf: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,5
2005-02,0
2005-03,2
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,2
2005-12,0
2006-01,2
2006-02,2
2006-03,2
2006-04,0
2006-05,2
2006-06,0
2006-07,0
2006-08,2
2006-09,0
2006-10,0
2006-11,3
2006-12,2
2007-01,3
2007-02,1
2007-03,2
2007-04,0
2007-05,0
2007-06,2
2007-07,1
2007-08,1
2007-09,2
2007-10,3
2007-11,2
2007-12,3
2008-01,3
2008-02,2
2008-03,3
2008-04,2
2008-05,2
2008-06,2
2008-07,3
2008-08,2
2008-09,2
2008-10,3
2008-11,4
2008-12,3
2009-01,3
2009-02,4
2009-03,4
2009-04,3
2009-05,4
2009-06,4
2009-07,4
2009-08,4
2009-09,4
2009-10,4
2009-11,4
2009-12,3
2010-01,4
2010-02,3
2010-03,4
2010-04,3
2010-05,5
2010-06,3
2010-07,3
2010-08,3
2010-09,4
2010-10,4
2010-11,3
2010-12,4
2011-01,5
2011-02,4
2011-03,3
2011-04,4
2011-05,4
2011-06,3
2011-07,4
2011-08,5
2011-09,4
2011-10,3
2011-11,3
2011-12,2
2012-01,3
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,4
2012-12,3
2013-01,4
2013-02,4
2013-03,3
2013-04,4
2013-05,4
2013-06,4
2013-07,4
2013-08,4
2013-09,4
2013-10,4
2013-11,4
2013-12,4
2014-01,6
2014-02,5
2014-03,5
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,4
2014-09,5
2014-10,5
2014-11,6
2014-12,8
2015-01,8
2015-02,9
2015-03,8
2015-04,7
2015-05,7
2015-06,6
2015-07,7
2015-08,7
2015-09,6
2015-10,6
2015-11,6
2015-12,6
2016-01,8
2016-02,7
2016-03,6
2016-04,6
2016-05,5
2016-06,6
2016-07,6
2016-08,6
2016-09,7
2016-10,7
2016-11,8
2016-12,8
2017-01,9
2017-02,9
2017-03,10
2017-04,9
2017-05,9
2017-06,8
2017-07,8
2017-08,8
2017-09,8
2017-10,10
2017-11,11
2017-12,12
2018-01,15
2018-02,11
2018-03,7
2018-04,6
2018-05,8
2018-06,8
2018-07,10
2018-08,13
2018-09,9
2018-10,9
2018-11,9
2018-12,8
2019-01,9
2019-02,9
2019-03,8
2019-04,8
2019-05,9
2019-06,8
2019-07,9
2019-08,10
2019-09,11
2019-10,9
2019-11,9
2019-12,11
2020-01,14
2020-02,16
2020-03,27
2020-04,23
2020-05,18
2020-06,19
2020-07,17
2020-08,21
2020-09,18
2020-10,19
2020-11,26
2020-12,32
2021-01,56
2021-02,56
2021-03,37
2021-04,39
2021-05,31
2021-06,24
2021-07,22
2021-08,27
2021-09,24
2021-10,35
2021-11,31
2021-12,29
2022-01,44
2022-02,36
2022-03,32
2022-04,27
2022-05,25
2022-06,23
2022-07,21
2022-08,27
2022-09,21
2022-10,21
2022-11,21
2022-12,19
2023-01,30
2023-02,27
2023-03,25
2023-04,21
2023-05,25
2023-06,26
2023-07,26
2023-08,29
2023-09,24
2023-10,30
2023-11,30
2023-12,36
2024-01,100
2024-02,47
2024-03,41
2024-04,40
2024-05,43
2024-06,36
2024-07,40
2024-08,39
2024-09,32
2024-10,38
2024-11,45
2024-12,48
2025-01,56
2025-02,49
2025-03,51
2025-04,49
2025-05,36
