Maand,hoe beleggen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,46
2006-08,49
2006-09,0
2006-10,0
2006-11,0
2006-12,37
2007-01,29
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,37
2007-10,0
2007-11,23
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,25
2008-10,44
2008-11,24
2008-12,24
2009-01,21
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,31
2009-09,17
2009-10,25
2009-11,28
2009-12,0
2010-01,16
2010-02,0
2010-03,18
2010-04,0
2010-05,0
2010-06,17
2010-07,18
2010-08,20
2010-09,18
2010-10,22
2010-11,14
2010-12,20
2011-01,26
2011-02,18
2011-03,24
2011-04,13
2011-05,19
2011-06,16
2011-07,19
2011-08,30
2011-09,20
2011-10,15
2011-11,18
2011-12,14
2012-01,21
2012-02,12
2012-03,20
2012-04,0
2012-05,27
2012-06,19
2012-07,15
2012-08,16
2012-09,19
2012-10,17
2012-11,12
2012-12,26
2013-01,25
2013-02,21
2013-03,19
2013-04,18
2013-05,21
2013-06,17
2013-07,17
2013-08,22
2013-09,23
2013-10,17
2013-11,27
2013-12,27
2014-01,39
2014-02,34
2014-03,19
2014-04,18
2014-05,21
2014-06,19
2014-07,21
2014-08,29
2014-09,22
2014-10,20
2014-11,28
2014-12,38
2015-01,41
2015-02,36
2015-03,31
2015-04,28
2015-05,21
2015-06,25
2015-07,20
2015-08,22
2015-09,21
2015-10,18
2015-11,15
2015-12,26
2016-01,31
2016-02,27
2016-03,17
2016-04,19
2016-05,17
2016-06,20
2016-07,18
2016-08,27
2016-09,22
2016-10,19
2016-11,25
2016-12,25
2017-01,35
2017-02,21
2017-03,28
2017-04,19
2017-05,27
2017-06,27
2017-07,25
2017-08,29
2017-09,37
2017-10,44
2017-11,66
2017-12,56
2018-01,50
2018-02,32
2018-03,19
2018-04,20
2018-05,18
2018-06,23
2018-07,20
2018-08,22
2018-09,21
2018-10,24
2018-11,31
2018-12,29
2019-01,24
2019-02,16
2019-03,20
2019-04,18
2019-05,28
2019-06,21
2019-07,24
2019-08,27
2019-09,27
2019-10,33
2019-11,24
2019-12,24
2020-01,36
2020-02,40
2020-03,77
2020-04,44
2020-05,35
2020-06,36
2020-07,28
2020-08,40
2020-09,37
2020-10,37
2020-11,54
2020-12,58
2021-01,100
2021-02,85
2021-03,57
2021-04,63
2021-05,56
2021-06,26
2021-07,28
2021-08,42
2021-09,41
2021-10,45
2021-11,45
2021-12,43
2022-01,53
2022-02,48
2022-03,37
2022-04,37
2022-05,42
2022-06,36
2022-07,21
2022-08,27
2022-09,38
2022-10,39
2022-11,34
2022-12,37
2023-01,45
2023-02,42
2023-03,43
2023-04,45
2023-05,36
2023-06,35
2023-07,35
2023-08,39
2023-09,44
2023-10,40
2023-11,45
2023-12,46
2024-01,59
2024-02,43
2024-03,51
2024-04,51
2024-05,46
2024-06,41
2024-07,42
2024-08,38
2024-09,43
2024-10,62
2024-11,58
2024-12,65
2025-01,74
2025-02,49
2025-03,41
2025-04,56
2025-05,40
