Maand,aandelen handelen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,99
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,35
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,41
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,32
2013-08,0
2013-09,56
2013-10,25
2013-11,43
2013-12,26
2014-01,45
2014-02,40
2014-03,25
2014-04,35
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,81
2015-01,44
2015-02,37
2015-03,46
2015-04,35
2015-05,61
2015-06,31
2015-07,25
2015-08,34
2015-09,0
2015-10,36
2015-11,22
2015-12,39
2016-01,42
2016-02,27
2016-03,27
2016-04,31
2016-05,0
2016-06,0
2016-07,31
2016-08,0
2016-09,25
2016-10,31
2016-11,46
2016-12,0
2017-01,0
2017-02,36
2017-03,0
2017-04,38
2017-05,33
2017-06,23
2017-07,27
2017-08,34
2017-09,41
2017-10,57
2017-11,29
2017-12,75
2018-01,49
2018-02,23
2018-03,23
2018-04,0
2018-05,0
2018-06,0
2018-07,24
2018-08,0
2018-09,37
2018-10,22
2018-11,23
2018-12,27
2019-01,21
2019-02,0
2019-03,24
2019-04,0
2019-05,31
2019-06,29
2019-07,23
2019-08,0
2019-09,27
2019-10,21
2019-11,0
2019-12,28
2020-01,26
2020-02,39
2020-03,74
2020-04,51
2020-05,42
2020-06,39
2020-07,38
2020-08,27
2020-09,18
2020-10,39
2020-11,47
2020-12,50
2021-01,86
2021-02,100
2021-03,45
2021-04,31
2021-05,42
2021-06,26
2021-07,0
2021-08,0
2021-09,28
2021-10,23
2021-11,21
2021-12,37
2022-01,0
2022-02,22
2022-03,32
2022-04,19
2022-05,0
2022-06,31
2022-07,0
2022-08,0
2022-09,20
2022-10,0
2022-11,18
2022-12,0
2023-01,23
2023-02,0
2023-03,0
2023-04,21
2023-05,0
2023-06,0
2023-07,0
2023-08,0
2023-09,21
2023-10,25
2023-11,0
2023-12,0
2024-01,25
2024-02,0
2024-03,26
2024-04,35
2024-05,0
2024-06,0
2024-07,0
2024-08,0
2024-09,0
2024-10,24
2024-11,22
2024-12,0
2025-01,0
2025-02,0
2025-03,0
2025-04,30
2025-05,18
