Maand,beste aandelen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,15
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,10
2010-02,0
2010-03,11
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,10
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,9
2011-09,11
2011-10,11
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,7
2012-06,0
2012-07,0
2012-08,7
2012-09,0
2012-10,6
2012-11,0
2012-12,12
2013-01,6
2013-02,0
2013-03,7
2013-04,7
2013-05,8
2013-06,6
2013-07,0
2013-08,9
2013-09,0
2013-10,9
2013-11,7
2013-12,12
2014-01,22
2014-02,12
2014-03,8
2014-04,6
2014-05,6
2014-06,5
2014-07,9
2014-08,9
2014-09,5
2014-10,10
2014-11,4
2014-12,17
2015-01,8
2015-02,15
2015-03,14
2015-04,7
2015-05,8
2015-06,8
2015-07,9
2015-08,7
2015-09,10
2015-10,5
2015-11,10
2015-12,10
2016-01,10
2016-02,8
2016-03,7
2016-04,7
2016-05,10
2016-06,9
2016-07,9
2016-08,8
2016-09,9
2016-10,8
2016-11,11
2016-12,14
2017-01,16
2017-02,11
2017-03,6
2017-04,11
2017-05,7
2017-06,7
2017-07,7
2017-08,8
2017-09,11
2017-10,15
2017-11,20
2017-12,31
2018-01,27
2018-02,12
2018-03,12
2018-04,6
2018-05,10
2018-06,10
2018-07,10
2018-08,15
2018-09,15
2018-10,14
2018-11,7
2018-12,11
2019-01,15
2019-02,13
2019-03,13
2019-04,11
2019-05,13
2019-06,6
2019-07,14
2019-08,12
2019-09,15
2019-10,11
2019-11,15
2019-12,23
2020-01,26
2020-02,27
2020-03,63
2020-04,39
2020-05,27
2020-06,32
2020-07,24
2020-08,23
2020-09,26
2020-10,29
2020-11,47
2020-12,64
2021-01,100
2021-02,73
2021-03,49
2021-04,43
2021-05,34
2021-06,28
2021-07,18
2021-08,30
2021-09,28
2021-10,26
2021-11,29
2021-12,34
2022-01,50
2022-02,32
2022-03,27
2022-04,22
2022-05,20
2022-06,21
2022-07,24
2022-08,27
2022-09,26
2022-10,24
2022-11,22
2022-12,25
2023-01,38
2023-02,32
2023-03,27
2023-04,29
2023-05,27
2023-06,25
2023-07,33
2023-08,29
2023-09,22
2023-10,20
2023-11,26
2023-12,31
2024-01,43
2024-02,33
2024-03,40
2024-04,30
2024-05,25
2024-06,23
2024-07,27
2024-08,28
2024-09,23
2024-10,32
2024-11,34
2024-12,36
2025-01,47
2025-02,25
2025-03,32
2025-04,38
2025-05,27
