Maand,dividend aandelen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,16
2007-04,0
2007-05,16
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,12
2008-03,0
2008-04,14
2008-05,14
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,24
2008-11,12
2008-12,0
2009-01,13
2009-02,0
2009-03,13
2009-04,0
2009-05,16
2009-06,0
2009-07,13
2009-08,17
2009-09,15
2009-10,12
2009-11,12
2009-12,12
2010-01,16
2010-02,0
2010-03,18
2010-04,16
2010-05,19
2010-06,9
2010-07,11
2010-08,11
2010-09,19
2010-10,17
2010-11,14
2010-12,18
2011-01,16
2011-02,23
2011-03,14
2011-04,17
2011-05,12
2011-06,13
2011-07,0
2011-08,22
2011-09,14
2011-10,11
2011-11,13
2011-12,12
2012-01,19
2012-02,18
2012-03,16
2012-04,16
2012-05,18
2012-06,13
2012-07,13
2012-08,11
2012-09,13
2012-10,13
2012-11,17
2012-12,14
2013-01,24
2013-02,17
2013-03,23
2013-04,25
2013-05,21
2013-06,17
2013-07,19
2013-08,20
2013-09,16
2013-10,20
2013-11,26
2013-12,20
2014-01,26
2014-02,24
2014-03,23
2014-04,19
2014-05,18
2014-06,16
2014-07,14
2014-08,13
2014-09,21
2014-10,22
2014-11,22
2014-12,22
2015-01,31
2015-02,31
2015-03,26
2015-04,23
2015-05,25
2015-06,20
2015-07,23
2015-08,22
2015-09,22
2015-10,18
2015-11,21
2015-12,24
2016-01,26
2016-02,24
2016-03,25
2016-04,25
2016-05,19
2016-06,16
2016-07,20
2016-08,20
2016-09,18
2016-10,19
2016-11,26
2016-12,25
2017-01,29
2017-02,31
2017-03,22
2017-04,27
2017-05,28
2017-06,21
2017-07,19
2017-08,29
2017-09,21
2017-10,26
2017-11,28
2017-12,26
2018-01,37
2018-02,26
2018-03,19
2018-04,28
2018-05,24
2018-06,20
2018-07,19
2018-08,27
2018-09,26
2018-10,22
2018-11,20
2018-12,19
2019-01,31
2019-02,22
2019-03,29
2019-04,30
2019-05,21
2019-06,26
2019-07,22
2019-08,38
2019-09,31
2019-10,25
2019-11,33
2019-12,37
2020-01,35
2020-02,47
2020-03,100
2020-04,67
2020-05,54
2020-06,43
2020-07,35
2020-08,36
2020-09,43
2020-10,46
2020-11,64
2020-12,60
2021-01,80
2021-02,92
2021-03,72
2021-04,59
2021-05,55
2021-06,41
2021-07,34
2021-08,44
2021-09,39
2021-10,41
2021-11,40
2021-12,37
2022-01,64
2022-02,52
2022-03,51
2022-04,49
2022-05,43
2022-06,36
2022-07,35
2022-08,51
2022-09,35
2022-10,33
2022-11,42
2022-12,37
2023-01,57
2023-02,59
2023-03,58
2023-04,56
2023-05,51
2023-06,49
2023-07,43
2023-08,52
2023-09,40
2023-10,33
2023-11,38
2023-12,46
2024-01,54
2024-02,53
2024-03,55
2024-04,49
2024-05,51
2024-06,48
2024-07,35
2024-08,44
2024-09,37
2024-10,35
2024-11,38
2024-12,38
2025-01,54
2025-02,50
2025-03,47
2025-04,44
2025-05,46
