Maand,aandelen opties: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,85
2007-08,100
2007-09,0
2007-10,0
2007-11,75
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,74
2008-08,0
2008-09,0
2008-10,86
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,78
2009-07,0
2009-08,0
2009-09,0
2009-10,47
2009-11,51
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,57
2010-05,0
2010-06,0
2010-07,54
2010-08,0
2010-09,0
2010-10,44
2010-11,54
2010-12,57
2011-01,0
2011-02,38
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,33
2012-02,0
2012-03,0
2012-04,36
2012-05,29
2012-06,29
2012-07,0
2012-08,32
2012-09,29
2012-10,0
2012-11,0
2012-12,32
2013-01,30
2013-02,36
2013-03,0
2013-04,0
2013-05,0
2013-06,27
2013-07,37
2013-08,27
2013-09,43
2013-10,26
2013-11,0
2013-12,0
2014-01,22
2014-02,25
2014-03,27
2014-04,0
2014-05,0
2014-06,31
2014-07,0
2014-08,0
2014-09,22
2014-10,0
2014-11,0
2014-12,28
2015-01,0
2015-02,34
2015-03,28
2015-04,26
2015-05,20
2015-06,23
2015-07,43
2015-08,0
2015-09,0
2015-10,31
2015-11,25
2015-12,0
2016-01,25
2016-02,42
2016-03,0
2016-04,28
2016-05,32
2016-06,21
2016-07,0
2016-08,24
2016-09,0
2016-10,0
2016-11,23
2016-12,53
2017-01,54
2017-02,39
2017-03,56
2017-04,55
2017-05,48
2017-06,27
2017-07,0
2017-08,38
2017-09,0
2017-10,22
2017-11,26
2017-12,0
2018-01,28
2018-02,85
2018-03,27
2018-04,27
2018-05,23
2018-06,39
2018-07,34
2018-08,47
2018-09,27
2018-10,41
2018-11,36
2018-12,21
2019-01,30
2019-02,37
2019-03,40
2019-04,25
2019-05,39
2019-06,24
2019-07,30
2019-08,26
2019-09,0
2019-10,23
2019-11,24
2019-12,19
2020-01,17
2020-02,30
2020-03,60
2020-04,35
2020-05,43
2020-06,28
2020-07,34
2020-08,23
2020-09,24
2020-10,27
2020-11,30
2020-12,34
2021-01,60
2021-02,41
2021-03,32
2021-04,0
2021-05,23
2021-06,22
2021-07,0
2021-08,24
2021-09,32
2021-10,37
2021-11,21
2021-12,34
2022-01,33
2022-02,23
2022-03,29
2022-04,24
2022-05,46
2022-06,43
2022-07,24
2022-08,34
2022-09,24
2022-10,42
2022-11,35
2022-12,25
2023-01,45
2023-02,28
2023-03,47
2023-04,32
2023-05,30
2023-06,30
2023-07,30
2023-08,28
2023-09,27
2023-10,38
2023-11,30
2023-12,23
2024-01,23
2024-02,21
2024-03,0
2024-04,21
2024-05,0
2024-06,23
2024-07,0
2024-08,0
2024-09,0
2024-10,0
2024-11,0
2024-12,30
2025-01,0
2025-02,0
2025-03,24
2025-04,21
2025-05,12
