Maand,ing beleggen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,21
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,25
2008-11,0
2008-12,0
2009-01,0
2009-02,13
2009-03,24
2009-04,16
2009-05,15
2009-06,12
2009-07,0
2009-08,18
2009-09,23
2009-10,17
2009-11,15
2009-12,26
2010-01,15
2010-02,15
2010-03,15
2010-04,20
2010-05,17
2010-06,20
2010-07,16
2010-08,12
2010-09,16
2010-10,15
2010-11,19
2010-12,11
2011-01,22
2011-02,16
2011-03,10
2011-04,9
2011-05,11
2011-06,10
2011-07,11
2011-08,26
2011-09,14
2011-10,12
2011-11,20
2011-12,13
2012-01,13
2012-02,12
2012-03,11
2012-04,14
2012-05,14
2012-06,10
2012-07,13
2012-08,10
2012-09,11
2012-10,15
2012-11,12
2012-12,16
2013-01,20
2013-02,17
2013-03,21
2013-04,20
2013-05,14
2013-06,12
2013-07,17
2013-08,19
2013-09,16
2013-10,13
2013-11,35
2013-12,34
2014-01,42
2014-02,24
2014-03,21
2014-04,28
2014-05,18
2014-06,24
2014-07,14
2014-08,37
2014-09,30
2014-10,26
2014-11,26
2014-12,29
2015-01,53
2015-02,37
2015-03,40
2015-04,37
2015-05,35
2015-06,23
2015-07,27
2015-08,31
2015-09,20
2015-10,24
2015-11,30
2015-12,32
2016-01,27
2016-02,21
2016-03,22
2016-04,16
2016-05,18
2016-06,20
2016-07,20
2016-08,21
2016-09,22
2016-10,23
2016-11,29
2016-12,36
2017-01,31
2017-02,24
2017-03,34
2017-04,28
2017-05,34
2017-06,27
2017-07,30
2017-08,29
2017-09,27
2017-10,46
2017-11,54
2017-12,54
2018-01,58
2018-02,30
2018-03,29
2018-04,25
2018-05,21
2018-06,26
2018-07,27
2018-08,28
2018-09,27
2018-10,50
2018-11,39
2018-12,37
2019-01,33
2019-02,28
2019-03,31
2019-04,33
2019-05,31
2019-06,31
2019-07,34
2019-08,35
2019-09,35
2019-10,35
2019-11,30
2019-12,38
2020-01,50
2020-02,55
2020-03,100
2020-04,58
2020-05,46
2020-06,46
2020-07,36
2020-08,43
2020-09,31
2020-10,45
2020-11,60
2020-12,55
2021-01,83
2021-02,76
2021-03,53
2021-04,59
2021-05,68
2021-06,59
2021-07,44
2021-08,57
2021-09,46
2021-10,52
2021-11,66
2021-12,58
2022-01,74
2022-02,52
2022-03,42
2022-04,35
2022-05,39
2022-06,34
2022-07,31
2022-08,41
2022-09,36
2022-10,31
2022-11,39
2022-12,32
2023-01,43
2023-02,37
2023-03,41
2023-04,30
2023-05,34
2023-06,33
2023-07,39
2023-08,43
2023-09,39
2023-10,33
2023-11,37
2023-12,39
2024-01,50
2024-02,45
2024-03,41
2024-04,42
2024-05,39
2024-06,42
2024-07,37
2024-08,41
2024-09,38
2024-10,47
2024-11,50
2024-12,49
2025-01,62
2025-02,49
2025-03,39
2025-04,42
2025-05,31
