Maand,rabobank beleggen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,23
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,18
2007-01,0
2007-02,0
2007-03,20
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,20
2007-09,15
2007-10,25
2007-11,16
2007-12,17
2008-01,17
2008-02,0
2008-03,13
2008-04,18
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,18
2008-10,36
2008-11,14
2008-12,13
2009-01,12
2009-02,22
2009-03,23
2009-04,21
2009-05,18
2009-06,13
2009-07,15
2009-08,18
2009-09,19
2009-10,19
2009-11,21
2009-12,13
2010-01,12
2010-02,16
2010-03,17
2010-04,17
2010-05,14
2010-06,17
2010-07,0
2010-08,13
2010-09,13
2010-10,10
2010-11,15
2010-12,8
2011-01,17
2011-02,12
2011-03,10
2011-04,0
2011-05,10
2011-06,11
2011-07,11
2011-08,22
2011-09,12
2011-10,9
2011-11,13
2011-12,10
2012-01,8
2012-02,6
2012-03,14
2012-04,6
2012-05,8
2012-06,10
2012-07,10
2012-08,9
2012-09,7
2012-10,10
2012-11,8
2012-12,8
2013-01,13
2013-02,13
2013-03,15
2013-04,9
2013-05,10
2013-06,12
2013-07,13
2013-08,10
2013-09,17
2013-10,15
2013-11,25
2013-12,18
2014-01,23
2014-02,17
2014-03,17
2014-04,14
2014-05,16
2014-06,12
2014-07,12
2014-08,18
2014-09,14
2014-10,14
2014-11,20
2014-12,19
2015-01,28
2015-02,23
2015-03,23
2015-04,21
2015-05,23
2015-06,15
2015-07,20
2015-08,21
2015-09,19
2015-10,29
2015-11,23
2015-12,21
2016-01,20
2016-02,8
2016-03,14
2016-04,14
2016-05,13
2016-06,14
2016-07,13
2016-08,13
2016-09,11
2016-10,18
2016-11,25
2016-12,25
2017-01,26
2017-02,21
2017-03,22
2017-04,26
2017-05,25
2017-06,23
2017-07,21
2017-08,25
2017-09,24
2017-10,33
2017-11,42
2017-12,47
2018-01,47
2018-02,26
2018-03,22
2018-04,24
2018-05,24
2018-06,30
2018-07,20
2018-08,25
2018-09,24
2018-10,31
2018-11,34
2018-12,27
2019-01,32
2019-02,24
2019-03,27
2019-04,28
2019-05,29
2019-06,26
2019-07,28
2019-08,27
2019-09,28
2019-10,34
2019-11,35
2019-12,39
2020-01,54
2020-02,53
2020-03,100
2020-04,45
2020-05,41
2020-06,41
2020-07,30
2020-08,34
2020-09,33
2020-10,38
2020-11,50
2020-12,58
2021-01,76
2021-02,54
2021-03,40
2021-04,53
2021-05,49
2021-06,31
2021-07,32
2021-08,37
2021-09,30
2021-10,34
2021-11,41
2021-12,51
2022-01,67
2022-02,44
2022-03,36
2022-04,37
2022-05,29
2022-06,33
2022-07,27
2022-08,26
2022-09,28
2022-10,31
2022-11,29
2022-12,30
2023-01,42
2023-02,28
2023-03,33
2023-04,24
2023-05,28
2023-06,30
2023-07,33
2023-08,34
2023-09,27
2023-10,27
2023-11,35
2023-12,36
2024-01,46
2024-02,40
2024-03,45
2024-04,32
2024-05,35
2024-06,34
2024-07,29
2024-08,38
2024-09,32
2024-10,46
2024-11,38
2024-12,55
2025-01,64
2025-02,45
2025-03,37
2025-04,46
2025-05,30
