Maand,abn amro beleggen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,36
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,32
2008-05,27
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,33
2008-11,0
2008-12,0
2009-01,0
2009-02,37
2009-03,0
2009-04,0
2009-05,0
2009-06,29
2009-07,0
2009-08,0
2009-09,16
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,21
2010-04,21
2010-05,0
2010-06,0
2010-07,19
2010-08,0
2010-09,17
2010-10,13
2010-11,0
2010-12,17
2011-01,24
2011-02,17
2011-03,16
2011-04,0
2011-05,0
2011-06,18
2011-07,0
2011-08,15
2011-09,0
2011-10,13
2011-11,11
2011-12,0
2012-01,0
2012-02,10
2012-03,12
2012-04,0
2012-05,9
2012-06,0
2012-07,12
2012-08,11
2012-09,14
2012-10,20
2012-11,11
2012-12,17
2013-01,23
2013-02,18
2013-03,12
2013-04,16
2013-05,17
2013-06,14
2013-07,17
2013-08,32
2013-09,24
2013-10,20
2013-11,32
2013-12,37
2014-01,27
2014-02,19
2014-03,20
2014-04,12
2014-05,20
2014-06,16
2014-07,13
2014-08,20
2014-09,18
2014-10,19
2014-11,18
2014-12,12
2015-01,29
2015-02,21
2015-03,24
2015-04,24
2015-05,18
2015-06,20
2015-07,19
2015-08,15
2015-09,17
2015-10,20
2015-11,45
2015-12,28
2016-01,24
2016-02,21
2016-03,18
2016-04,18
2016-05,13
2016-06,17
2016-07,21
2016-08,20
2016-09,20
2016-10,22
2016-11,28
2016-12,26
2017-01,29
2017-02,17
2017-03,22
2017-04,20
2017-05,17
2017-06,22
2017-07,20
2017-08,26
2017-09,28
2017-10,33
2017-11,35
2017-12,32
2018-01,43
2018-02,19
2018-03,18
2018-04,20
2018-05,22
2018-06,24
2018-07,25
2018-08,23
2018-09,21
2018-10,31
2018-11,26
2018-12,30
2019-01,24
2019-02,23
2019-03,27
2019-04,24
2019-05,29
2019-06,23
2019-07,28
2019-08,30
2019-09,27
2019-10,30
2019-11,38
2019-12,34
2020-01,41
2020-02,55
2020-03,100
2020-04,55
2020-05,48
2020-06,38
2020-07,28
2020-08,31
2020-09,32
2020-10,40
2020-11,45
2020-12,50
2021-01,80
2021-02,71
2021-03,42
2021-04,46
2021-05,44
2021-06,37
2021-07,33
2021-08,33
2021-09,29
2021-10,38
2021-11,49
2021-12,36
2022-01,68
2022-02,43
2022-03,43
2022-04,32
2022-05,29
2022-06,38
2022-07,23
2022-08,37
2022-09,26
2022-10,23
2022-11,30
2022-12,35
2023-01,37
2023-02,37
2023-03,25
2023-04,25
2023-05,36
2023-06,25
2023-07,28
2023-08,36
2023-09,32
2023-10,34
2023-11,42
2023-12,38
2024-01,48
2024-02,41
2024-03,41
2024-04,38
2024-05,48
2024-06,37
2024-07,37
2024-08,36
2024-09,35
2024-10,41
2024-11,39
2024-12,46
2025-01,58
2025-02,49
2025-03,48
2025-04,44
2025-05,28
