Maand,DEGIRO: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,1
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,8
2013-10,6
2013-11,7
2013-12,6
2014-01,10
2014-02,9
2014-03,8
2014-04,7
2014-05,5
2014-06,5
2014-07,7
2014-08,8
2014-09,9
2014-10,10
2014-11,10
2014-12,11
2015-01,14
2015-02,17
2015-03,19
2015-04,15
2015-05,14
2015-06,13
2015-07,15
2015-08,14
2015-09,13
2015-10,14
2015-11,13
2015-12,15
2016-01,11
2016-02,14
2016-03,15
2016-04,16
2016-05,13
2016-06,16
2016-07,17
2016-08,17
2016-09,15
2016-10,16
2016-11,17
2016-12,16
2017-01,17
2017-02,22
2017-03,19
2017-04,16
2017-05,19
2017-06,16
2017-07,17
2017-08,20
2017-09,20
2017-10,21
2017-11,28
2017-12,27
2018-01,32
2018-02,27
2018-03,21
2018-04,22
2018-05,20
2018-06,21
2018-07,19
2018-08,23
2018-09,18
2018-10,21
2018-11,18
2018-12,16
2019-01,17
2019-02,19
2019-03,17
2019-04,18
2019-05,17
2019-06,14
2019-07,19
2019-08,20
2019-09,18
2019-10,19
2019-11,18
2019-12,21
2020-01,25
2020-02,32
2020-03,65
2020-04,45
2020-05,38
2020-06,48
2020-07,39
2020-08,36
2020-09,37
2020-10,36
2020-11,53
2020-12,58
2021-01,98
2021-02,100
2021-03,67
2021-04,60
2021-05,49
2021-06,46
2021-07,38
2021-08,44
2021-09,39
2021-10,43
2021-11,55
2021-12,46
2022-01,63
2022-02,54
2022-03,60
2022-04,51
2022-05,49
2022-06,42
2022-07,39
2022-08,52
2022-09,44
2022-10,42
2022-11,44
2022-12,40
2023-01,60
2023-02,60
2023-03,60
2023-04,45
2023-05,48
2023-06,50
2023-07,49
2023-08,44
2023-09,38
2023-10,41
2023-11,43
2023-12,48
2024-01,53
2024-02,57
2024-03,57
2024-04,53
2024-05,45
2024-06,44
2024-07,43
2024-08,58
2024-09,39
2024-10,46
2024-11,45
2024-12,56
2025-01,65
2025-02,54
2025-03,55
2025-04,60
2025-05,42
