Maand,recessie: (Nederland)
2004-01,36
2004-02,28
2004-03,27
2004-04,0
2004-05,18
2004-06,14
2004-07,0
2004-08,0
2004-09,0
2004-10,14
2004-11,14
2004-12,15
2005-01,0
2005-02,0
2005-03,0
2005-04,20
2005-05,10
2005-06,10
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,8
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,7
2006-12,0
2007-01,0
2007-02,0
2007-03,8
2007-04,0
2007-05,6
2007-06,4
2007-07,0
2007-08,0
2007-09,4
2007-10,6
2007-11,4
2007-12,7
2008-01,38
2008-02,14
2008-03,13
2008-04,11
2008-05,11
2008-06,7
2008-07,6
2008-08,11
2008-09,14
2008-10,97
2008-11,64
2008-12,73
2009-01,54
2009-02,98
2009-03,78
2009-04,52
2009-05,39
2009-06,45
2009-07,27
2009-08,28
2009-09,36
2009-10,33
2009-11,35
2009-12,22
2010-01,20
2010-02,19
2010-03,22
2010-04,12
2010-05,13
2010-06,14
2010-07,6
2010-08,6
2010-09,12
2010-10,11
2010-11,11
2010-12,11
2011-01,9
2011-02,9
2011-03,10
2011-04,7
2011-05,9
2011-06,8
2011-07,4
2011-08,19
2011-09,16
2011-10,20
2011-11,24
2011-12,44
2012-01,18
2012-02,35
2012-03,19
2012-04,14
2012-05,17
2012-06,24
2012-07,9
2012-08,8
2012-09,10
2012-10,12
2012-11,15
2012-12,16
2013-01,13
2013-02,20
2013-03,12
2013-04,12
2013-05,14
2013-06,11
2013-07,8
2013-08,9
2013-09,11
2013-10,16
2013-11,19
2013-12,11
2014-01,8
2014-02,9
2014-03,7
2014-04,5
2014-05,7
2014-06,5
2014-07,5
2014-08,6
2014-09,9
2014-10,8
2014-11,7
2014-12,6
2015-01,7
2015-02,4
2015-03,5
2015-04,6
2015-05,5
2015-06,8
2015-07,4
2015-08,4
2015-09,6
2015-10,8
2015-11,7
2015-12,6
2016-01,7
2016-02,10
2016-03,7
2016-04,5
2016-05,5
2016-06,6
2016-07,4
2016-08,3
2016-09,5
2016-10,6
2016-11,6
2016-12,5
2017-01,6
2017-02,7
2017-03,7
2017-04,6
2017-05,5
2017-06,7
2017-07,3
2017-08,2
2017-09,5
2017-10,6
2017-11,6
2017-12,4
2018-01,7
2018-02,7
2018-03,7
2018-04,5
2018-05,7
2018-06,5
2018-07,4
2018-08,5
2018-09,6
2018-10,7
2018-11,8
2018-12,10
2019-01,10
2019-02,11
2019-03,12
2019-04,7
2019-05,9
2019-06,8
2019-07,7
2019-08,29
2019-09,18
2019-10,14
2019-11,15
2019-12,8
2020-01,11
2020-02,12
2020-03,100
2020-04,41
2020-05,22
2020-06,21
2020-07,10
2020-08,8
2020-09,7
2020-10,8
2020-11,6
2020-12,5
2021-01,8
2021-02,9
2021-03,6
2021-04,6
2021-05,8
2021-06,5
2021-07,3
2021-08,4
2021-09,5
2021-10,6
2021-11,6
2021-12,5
2022-01,13
2022-02,8
2022-03,57
2022-04,16
2022-05,26
2022-06,48
2022-07,40
2022-08,31
2022-09,41
2022-10,46
2022-11,44
2022-12,19
2023-01,18
2023-02,14
2023-03,13
2023-04,10
2023-05,18
2023-06,22
2023-07,7
2023-08,31
2023-09,10
2023-10,10
2023-11,11
2023-12,8
2024-01,9
2024-02,8
2024-03,8
2024-04,5
2024-05,6
2024-06,5
2024-07,4
2024-08,21
2024-09,8
2024-10,7
2024-11,8
2024-12,5
2025-01,6
2025-02,5
2025-03,23
2025-04,36
2025-05,12
