Maand,crisis: (Nederland)
2004-01,30
2004-02,34
2004-03,36
2004-04,29
2004-05,27
2004-06,24
2004-07,19
2004-08,19
2004-09,24
2004-10,27
2004-11,28
2004-12,21
2005-01,21
2005-02,26
2005-03,27
2005-04,21
2005-05,22
2005-06,23
2005-07,15
2005-08,15
2005-09,19
2005-10,21
2005-11,20
2005-12,17
2006-01,24
2006-02,21
2006-03,23
2006-04,20
2006-05,21
2006-06,20
2006-07,14
2006-08,15
2006-09,28
2006-10,30
2006-11,24
2006-12,24
2007-01,41
2007-02,20
2007-03,22
2007-04,18
2007-05,21
2007-06,20
2007-07,14
2007-08,19
2007-09,25
2007-10,26
2007-11,28
2007-12,23
2008-01,25
2008-02,24
2008-03,29
2008-04,31
2008-05,28
2008-06,30
2008-07,31
2008-08,25
2008-09,46
2008-10,95
2008-11,62
2008-12,60
2009-01,62
2009-02,86
2009-03,100
2009-04,71
2009-05,58
2009-06,60
2009-07,37
2009-08,35
2009-09,54
2009-10,53
2009-11,49
2009-12,45
2010-01,46
2010-02,45
2010-03,53
2010-04,39
2010-05,46
2010-06,38
2010-07,22
2010-08,22
2010-09,32
2010-10,35
2010-11,34
2010-12,32
2011-01,42
2011-02,34
2011-03,37
2011-04,33
2011-05,32
2011-06,34
2011-07,26
2011-08,32
2011-09,47
2011-10,48
2011-11,57
2011-12,47
2012-01,44
2012-02,45
2012-03,42
2012-04,40
2012-05,43
2012-06,41
2012-07,28
2012-08,26
2012-09,37
2012-10,39
2012-11,42
2012-12,38
2013-01,37
2013-02,39
2013-03,43
2013-04,36
2013-05,35
2013-06,35
2013-07,25
2013-08,25
2013-09,43
2013-10,74
2013-11,76
2013-12,99
2014-01,38
2014-02,33
2014-03,36
2014-04,33
2014-05,35
2014-06,49
2014-07,24
2014-08,29
2014-09,56
2014-10,51
2014-11,34
2014-12,33
2015-01,45
2015-02,40
2015-03,37
2015-04,31
2015-05,28
2015-06,37
2015-07,29
2015-08,22
2015-09,42
2015-10,39
2015-11,34
2015-12,27
2016-01,34
2016-02,40
2016-03,32
2016-04,27
2016-05,26
2016-06,27
2016-07,19
2016-08,18
2016-09,27
2016-10,27
2016-11,31
2016-12,27
2017-01,25
2017-02,25
2017-03,30
2017-04,24
2017-05,24
2017-06,24
2017-07,24
2017-08,23
2017-09,24
2017-10,26
2017-11,30
2017-12,32
2018-01,29
2018-02,31
2018-03,28
2018-04,24
2018-05,25
2018-06,23
2018-07,18
2018-08,22
2018-09,28
2018-10,27
2018-11,25
2018-12,25
2019-01,25
2019-02,24
2019-03,22
2019-04,22
2019-05,24
2019-06,24
2019-07,19
2019-08,22
2019-09,26
2019-10,30
2019-11,31
2019-12,43
2020-01,38
2020-02,30
2020-03,100
2020-04,78
2020-05,52
2020-06,36
2020-07,25
2020-08,22
2020-09,31
2020-10,30
2020-11,26
2020-12,24
2021-01,30
2021-02,27
2021-03,28
2021-04,25
2021-05,22
2021-06,20
2021-07,17
2021-08,17
2021-09,22
2021-10,24
2021-11,23
2021-12,23
2022-01,26
2022-02,32
2022-03,33
2022-04,27
2022-05,26
2022-06,29
2022-07,22
2022-08,22
2022-09,33
2022-10,32
2022-11,30
2022-12,35
2023-01,30
2023-02,29
2023-03,32
2023-04,23
2023-05,26
2023-06,23
2023-07,19
2023-08,19
2023-09,24
2023-10,24
2023-11,26
2023-12,23
2024-01,25
2024-02,26
2024-03,26
2024-04,24
2024-05,27
2024-06,24
2024-07,18
2024-08,19
2024-09,27
2024-10,27
2024-11,25
2024-12,24
2025-01,24
2025-02,26
2025-03,27
2025-04,23
2025-05,23
