Maand,aandelen verkopen: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,54
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,37
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,31
2008-10,47
2008-11,0
2008-12,0
2009-01,0
2009-02,33
2009-03,25
2009-04,0
2009-05,0
2009-06,0
2009-07,22
2009-08,0
2009-09,0
2009-10,25
2009-11,0
2009-12,0
2010-01,23
2010-02,0
2010-03,21
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,27
2010-11,0
2010-12,0
2011-01,23
2011-02,21
2011-03,19
2011-04,25
2011-05,17
2011-06,14
2011-07,16
2011-08,35
2011-09,13
2011-10,18
2011-11,16
2011-12,15
2012-01,28
2012-02,14
2012-03,18
2012-04,0
2012-05,22
2012-06,19
2012-07,14
2012-08,13
2012-09,16
2012-10,18
2012-11,21
2012-12,19
2013-01,25
2013-02,26
2013-03,20
2013-04,21
2013-05,16
2013-06,11
2013-07,13
2013-08,26
2013-09,22
2013-10,22
2013-11,34
2013-12,23
2014-01,28
2014-02,26
2014-03,22
2014-04,17
2014-05,16
2014-06,24
2014-07,19
2014-08,13
2014-09,16
2014-10,27
2014-11,28
2014-12,30
2015-01,28
2015-02,30
2015-03,24
2015-04,22
2015-05,18
2015-06,17
2015-07,21
2015-08,28
2015-09,26
2015-10,22
2015-11,20
2015-12,16
2016-01,30
2016-02,20
2016-03,22
2016-04,24
2016-05,26
2016-06,30
2016-07,17
2016-08,16
2016-09,17
2016-10,30
2016-11,29
2016-12,33
2017-01,24
2017-02,26
2017-03,24
2017-04,18
2017-05,24
2017-06,12
2017-07,17
2017-08,19
2017-09,25
2017-10,28
2017-11,30
2017-12,31
2018-01,20
2018-02,16
2018-03,20
2018-04,21
2018-05,19
2018-06,14
2018-07,15
2018-08,12
2018-09,21
2018-10,16
2018-11,21
2018-12,22
2019-01,18
2019-02,31
2019-03,30
2019-04,21
2019-05,26
2019-06,25
2019-07,19
2019-08,19
2019-09,22
2019-10,15
2019-11,19
2019-12,22
2020-01,25
2020-02,35
2020-03,100
2020-04,37
2020-05,34
2020-06,33
2020-07,35
2020-08,27
2020-09,28
2020-10,28
2020-11,39
2020-12,44
2021-01,60
2021-02,62
2021-03,35
2021-04,46
2021-05,30
2021-06,23
2021-07,23
2021-08,23
2021-09,25
2021-10,32
2021-11,23
2021-12,30
2022-01,35
2022-02,44
2022-03,31
2022-04,29
2022-05,29
2022-06,23
2022-07,19
2022-08,30
2022-09,29
2022-10,28
2022-11,27
2022-12,31
2023-01,35
2023-02,33
2023-03,33
2023-04,24
2023-05,20
2023-06,28
2023-07,24
2023-08,27
2023-09,27
2023-10,20
2023-11,28
2023-12,40
2024-01,33
2024-02,36
2024-03,45
2024-04,38
2024-05,30
2024-06,27
2024-07,27
2024-08,29
2024-09,24
2024-10,27
2024-11,32
2024-12,47
2025-01,33
2025-02,41
2025-03,39
2025-04,44
2025-05,26
