Maand,bull market: (Nederland)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,64
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,36
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,31
2008-11,0
2008-12,39
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,23
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,17
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,15
2012-04,19
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,14
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,13
2013-07,0
2013-08,0
2013-09,0
2013-10,16
2013-11,0
2013-12,0
2014-01,0
2014-02,16
2014-03,14
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,11
2014-11,0
2014-12,0
2015-01,0
2015-02,12
2015-03,10
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,13
2015-10,13
2015-11,11
2015-12,0
2016-01,15
2016-02,0
2016-03,10
2016-04,0
2016-05,14
2016-06,0
2016-07,0
2016-08,0
2016-09,13
2016-10,0
2016-11,0
2016-12,0
2017-01,10
2017-02,12
2017-03,0
2017-04,0
2017-05,15
2017-06,0
2017-07,0
2017-08,11
2017-09,20
2017-10,12
2017-11,10
2017-12,16
2018-01,23
2018-02,21
2018-03,13
2018-04,11
2018-05,10
2018-06,0
2018-07,0
2018-08,28
2018-09,16
2018-10,0
2018-11,14
2018-12,10
2019-01,11
2019-02,12
2019-03,0
2019-04,15
2019-05,8
2019-06,11
2019-07,11
2019-08,10
2019-09,0
2019-10,0
2019-11,9
2019-12,0
2020-01,12
2020-02,14
2020-03,25
2020-04,22
2020-05,15
2020-06,17
2020-07,18
2020-08,20
2020-09,17
2020-10,12
2020-11,12
2020-12,10
2021-01,35
2021-02,54
2021-03,33
2021-04,70
2021-05,79
2021-06,36
2021-07,18
2021-08,23
2021-09,15
2021-10,15
2021-11,23
2021-12,26
2022-01,100
2022-02,20
2022-03,20
2022-04,27
2022-05,29
2022-06,31
2022-07,24
2022-08,28
2022-09,16
2022-10,22
2022-11,21
2022-12,21
2023-01,39
2023-02,29
2023-03,26
2023-04,20
2023-05,16
2023-06,23
2023-07,17
2023-08,27
2023-09,22
2023-10,31
2023-11,30
2023-12,34
2024-01,31
2024-02,30
2024-03,55
2024-04,30
2024-05,31
2024-06,22
2024-07,20
2024-08,22
2024-09,23
2024-10,9
2024-11,40
2024-12,43
2025-01,31
2025-02,26
2025-03,24
2025-04,26
2025-05,16
