Maand,aex: (Nederland)
2004-01,11
2004-02,11
2004-03,10
2004-04,8
2004-05,7
2004-06,6
2004-07,6
2004-08,6
2004-09,7
2004-10,7
2004-11,6
2004-12,7
2005-01,8
2005-02,10
2005-03,7
2005-04,6
2005-05,6
2005-06,8
2005-07,10
2005-08,9
2005-09,9
2005-10,10
2005-11,12
2005-12,13
2006-01,13
2006-02,13
2006-03,13
2006-04,11
2006-05,11
2006-06,10
2006-07,10
2006-08,10
2006-09,10
2006-10,11
2006-11,10
2006-12,9
2007-01,11
2007-02,11
2007-03,14
2007-04,11
2007-05,9
2007-06,9
2007-07,10
2007-08,17
2007-09,10
2007-10,11
2007-11,13
2007-12,10
2008-01,19
2008-02,12
2008-03,11
2008-04,10
2008-05,8
2008-06,8
2008-07,14
2008-08,9
2008-09,19
2008-10,54
2008-11,20
2008-12,17
2009-01,14
2009-02,15
2009-03,18
2009-04,16
2009-05,14
2009-06,14
2009-07,13
2009-08,14
2009-09,13
2009-10,13
2009-11,12
2009-12,11
2010-01,11
2010-02,11
2010-03,11
2010-04,11
2010-05,13
2010-06,10
2010-07,10
2010-08,9
2010-09,9
2010-10,9
2010-11,10
2010-12,10
2011-01,10
2011-02,10
2011-03,10
2011-04,9
2011-05,8
2011-06,8
2011-07,10
2011-08,25
2011-09,16
2011-10,14
2011-11,16
2011-12,12
2012-01,11
2012-02,11
2012-03,9
2012-04,8
2012-05,10
2012-06,8
2012-07,9
2012-08,9
2012-09,8
2012-10,9
2012-11,10
2012-12,9
2013-01,11
2013-02,10
2013-03,10
2013-04,9
2013-05,10
2013-06,9
2013-07,11
2013-08,11
2013-09,9
2013-10,11
2013-11,11
2013-12,10
2014-01,14
2014-02,12
2014-03,10
2014-04,9
2014-05,8
2014-06,8
2014-07,8
2014-08,9
2014-09,8
2014-10,11
2014-11,9
2014-12,12
2015-01,12
2015-02,12
2015-03,12
2015-04,11
2015-05,9
2015-06,12
2015-07,13
2015-08,15
2015-09,13
2015-10,11
2015-11,11
2015-12,12
2016-01,15
2016-02,18
2016-03,14
2016-04,13
2016-05,11
2016-06,17
2016-07,15
2016-08,14
2016-09,14
2016-10,13
2016-11,17
2016-12,15
2017-01,14
2017-02,15
2017-03,15
2017-04,12
2017-05,14
2017-06,13
2017-07,12
2017-08,14
2017-09,12
2017-10,14
2017-11,15
2017-12,14
2018-01,16
2018-02,21
2018-03,17
2018-04,16
2018-05,15
2018-06,15
2018-07,15
2018-08,15
2018-09,14
2018-10,20
2018-11,19
2018-12,28
2019-01,30
2019-02,25
2019-03,20
2019-04,21
2019-05,20
2019-06,17
2019-07,22
2019-08,26
2019-09,21
2019-10,23
2019-11,21
2019-12,20
2020-01,23
2020-02,33
2020-03,100
2020-04,58
2020-05,38
2020-06,42
2020-07,35
2020-08,30
2020-09,29
2020-10,30
2020-11,33
2020-12,32
2021-01,30
2021-02,31
2021-03,31
2021-04,26
2021-05,26
2021-06,25
2021-07,25
2021-08,26
2021-09,29
2021-10,27
2021-11,27
2021-12,28
2022-01,29
2022-02,34
2022-03,36
2022-04,24
2022-05,29
2022-06,30
2022-07,29
2022-08,29
2022-09,29
2022-10,27
2022-11,27
2022-12,23
2023-01,26
2023-02,25
2023-03,27
2023-04,19
2023-05,20
2023-06,19
2023-07,18
2023-08,22
2023-09,18
2023-10,19
2023-11,18
2023-12,18
2024-01,19
2024-02,17
2024-03,14
2024-04,15
2024-05,14
2024-06,13
2024-07,14
2024-08,19
2024-09,15
2024-10,15
2024-11,15
2024-12,13
2025-01,14
2025-02,16
2025-03,17
2025-04,40
2025-05,19
