,IPOdate,company,companyID,Trading Location
0,13/02/2025,FERRARI GROUP,GB00BN0VZ646,Amsterdam
1,02/01/2025,VASTNED BELGIUM,BE0003754687,Amsterdam
2,20/12/2024,IRIS FINANCIAL SHA,KYG7552D1354,Amsterdam
3,16/12/2024,HAVAS,NL0015002AH0,Amsterdam
4,27/06/2024,THE LONDON TUNNELS,GB00BS28ZN53,Amsterdam
5,26/04/2024,CVC CAPITAL,JE00BRX98089,Amsterdam
6,07/02/2024,THEON INTERNAT,CY0200751713,Amsterdam
7,03/10/2023,QEV,NL0015000NM7,Amsterdam
8,07/07/2023,GIG,GG00BMB5XZ39,Amsterdam
9,16/06/2023,FERROVIAL,NL0015001FS8,Amsterdam
10,18/04/2023,DSM FIRMENICH AG,CH1216478797,Amsterdam
11,12/08/2022,EXOR N.V.,NL0012059018,Amsterdam
12,01/07/2022,FL ENTERTAINMENT,NL0015000X07,Amsterdam
13,28/04/2022,RA SPECIAL ACQUISITION,KYG7552D1016,Amsterdam
14,25/04/2022,BENEVOLENTAI,LU2355630455,Amsterdam
15,01/03/2022,CABKA,NL00150000S7,Amsterdam
16,04/02/2022,GP BHND SHA,LU2434421173,Amsterdam
17,02/02/2022,AZERION,NL00150006Z9,Amsterdam
18,10/12/2021,BRIGADE M3 SHA,KYG137071075,Amsterdam
19,10/12/2021,PEGASUS ENTREP SHA,NL0015000H31,Amsterdam
20,06/12/2021,EPIC Ord Shares,KYG3166N1060,Amsterdam
21,18/11/2021,EHC ORD SHARES,NL0015000K10,Amsterdam
22,11/11/2021,SPR1 ORD SHARES,NL0015000NM7,Amsterdam
23,05/11/2021,MOTORK,GB00BMXH3352,Amsterdam
24,22/10/2021,Ebusco Holding,NL0015000CZ2,Amsterdam
25,21/10/2021,ONWARD Medical,NL0015000HT4,"Amsterdam, Brussels"
26,07/10/2021,DISRUPTIVE CAP SHA,GG00BMB5XZ39,Amsterdam
27,24/09/2021,MAJOREL GROUP LUX,LU2382956378,Amsterdam
28,21/09/2021,UMG,NL0015000IY2,Amsterdam
29,19/07/2021,ENERGY TRANSITION PARTNERS,NL0015000F82,Amsterdam
30,19/07/2021,VAM INVEST SHARES,NL0015000G40,Amsterdam
31,06/07/2021,NEW AMSTERDAM INVEST,NL0015000CG2,Amsterdam
32,02/07/2021,ODYSSEY ORD SHARES,LU2355630455,Amsterdam
33,30/06/2021,CLIMATE TRANSITION CAPITAL ACQUISITION I,NL0015000DC9,Amsterdam
34,22/06/2021,CRYSTAL PEAK SHARE,KYG2581M1078,Amsterdam
35,11/06/2021,NX FILTRATION,NL0015000D50,Amsterdam
36,14/05/2021,HEDOSOPHIA UNITS,KYG4406A1287,Amsterdam
37,29/04/2021,PEGASUS ACQUISITION COMPANY EUROPE,NL00150009E8,Amsterdam
38,23/04/2021,ALLFUNDS GROUP,GB00BNTJ3546,Amsterdam
39,26/03/2021,EFIC1 ORD SHARES,NL00150006Z9,Amsterdam
40,25/03/2021,CTP,NL00150006R6,Amsterdam
41,12/02/2021,ESG CORE INVEST,NL00150006O3,Amsterdam
42,27/01/2021,INPOST,LU2290522684,Amsterdam
43,30/11/2020,UNILEVER,UNILEVER,Amsterdam
44,19/11/2020,DSC2,NL00150000S7,Amsterdam
45,04/09/2020,ADUX,FR0012821890,Amsterdam
46,29/05/2020,JDE Peet's N.V.,NL0014332678,Amsterdam
47,30/01/2020,RENEWI PLC,GB0007995243,Amsterdam
48,07/11/2019,AEDIFICA,BE0003851681,Amsterdam
49,11/09/2019,PROSUS,NL0013654783,Amsterdam
50,21/06/2019,FASTNED B.V.,NL0013654809,Amsterdam
51,07/06/2019,Marel hf.,IS0000000388,Amsterdam
52,10/09/2018,RELX PLC,GB00B2B0DG97,Amsterdam
53,27/06/2018,ENVIPCO HOLDING NV,NL0009901610,Amsterdam
54,13/06/2018,ADYEN NV,NL0012969182,Amsterdam
55,05/06/2018,UNIBAIL-WFD UNIBAI,FR0013326246,"Amsterdam, Paris"
56,11/04/2018,RETAIL ESTATES,BE0003720340,Amsterdam
57,23/03/2018,BS GROUP SA,LU1789205884,Amsterdam
58,23/03/2018,NIBC HOLDING NV,NL0012756316,Amsterdam
59,22/03/2018,ALFEN N.V.,NL0012817175,Amsterdam
60,22/02/2018,DUTCH STAR COMPANIES ONE NV,NL0012747059,Amsterdam
61,29/12/2017,PPLA PARTICIPATIONS LTD,US69355L1098,Amsterdam
62,14/11/2017,REINET INVESTMENTS SCA,LU0383812293,Amsterdam
63,12/07/2017,NEPI ROCKCASTLE PLC,IM00BDD7WV31,Amsterdam
64,12/05/2017,KONINKLIJKE VOLKERWESSELS N.V.,NL0012294466,Amsterdam
65,04/04/2017,VEON LTD,BMG9349W1038,Amsterdam
66,15/03/2017,AVANTIUM N.V.,NL0012047823,"Amsterdam, Brussels"
67,30/09/2016,TAKEAWAY.COM N.V.,NL0012015705,Amsterdam
68,10/06/2016,Basic-Fit,NL0011872650,Amsterdam
69,10/06/2016,ASR Nederland,NL0011872643,Amsterdam
70,31/05/2016,Coca-Cola European Partners Plc,GB00BDCPN049,"Amsterdam, London"
71,27/05/2016,Philips Lighting,NL0011821392,Amsterdam
72,24/05/2016,ForFarmers,NL0011832811,Amsterdam
73,12/05/2016,Sif Holding N.V.,NL0011660485,Amsterdam
74,09/03/2016,Royal Reesink,NL0000379303,Amsterdam
75,20/11/2015,ABN AMRO Group,NL0011540547,Amsterdam
76,18/11/2015,Warehouses de Pauw,BE0003763779,Amsterdam
77,11/11/2015,Curetis N.V.,NL0011509294,"Amsterdam, Brussels"
78,15/10/2015,Intertrust,NL0010937058,Amsterdam
79,10/08/2015,Altice,NL0011333752,Amsterdam
80,10/07/2015,Flow Traders,NL0011279492,Amsterdam
81,02/07/2015,Kiadis Pharma,NL0011323407,"Amsterdam, Brussels"
82,27/03/2015,Refresco Gerber,NL0011214010,Amsterdam
83,06/02/2015,GrandVision N.V.,NL0010937066,Amsterdam
84,04/02/2015,Lucas Bols N.V.,NL0010998878,Amsterdam
85,15/01/2015,Klepierre S.A.,FR0000121964,Amsterdam
86,24/11/2014,Mota-Engil Africa N.V.,NL0010969408,Amsterdam
87,27/10/2014,Probiodrug AG,DE0007921835,Amsterdam
88,13/10/2014,Pershing Square Holdings Ltd,GG00BPFJTF46,Amsterdam
89,02/07/2014,NN Group,NL0010773842,Amsterdam
90,02/07/2014,NN Group,NL0010773842,Amsterdam
91,27/06/2014,IMCD N.V.,NL0010801007,Amsterdam
92,27/06/2014,IMCD N.V.,NL0010801007,Amsterdam
93,20/06/2014,Euronext,NL0006294274,"Amsterdam, Brussels, Paris"
94,20/06/2014,Euronext,NL0006294274,"Amsterdam, Brussels, Paris"
95,20/06/2014,Euronext,NL0006294274,"Amsterdam, Brussels, Paris"
96,20/06/2014,Euronext,NL0006294274,"Amsterdam, Brussels, Paris"
97,20/02/2014,Novisource,NL0010696704,Amsterdam
98,20/02/2014,Novisource,NL0010696704,Amsterdam
99,31/01/2014,Altice,LU1014539529,Amsterdam
100,31/01/2014,Altice,LU1014539529,Amsterdam
101,10/10/2013,BTG Pactual,"US05890C3034;  US05890C1053, US05890C2044, BMG166341005, BMG166341187",Amsterdam
102,10/10/2013,BTG Pactual,"US05890C3034;  US05890C1053, US05890C2044, BMG166341005, BMG166341187",Amsterdam
103,03/04/2013,Gemalto,NL0000400653,Amsterdam
104,25/01/2013,OCI N.V.,NL0010387437,Amsterdam
105,25/01/2013,OCI N.V.,NL0010387437,Amsterdam
106,24/09/2012,Sopheon,GB0006932171,Amsterdam
107,24/09/2012,Sopheon,GB0006932171,Amsterdam
108,12/06/2012,D.E MASTER BLENDERS 1753 N.V.,NL0010157558,Amsterdam
109,12/06/2012,D.E MASTER BLENDERS 1753 N.V.,NL0010157558,Amsterdam
