,Unnamed: 0,IPOdate,company,isin,Trading Location,ticker,first_day_return,first_month_return
0,0,2025-02-13,FERRARI GROUP,GB00BN0VZ646,Amsterdam,FERGR.AS,"Ticker
FERGR.AS    0.0
Name: 2025-02-13 00:00:00, dtype: float64","Ticker
FERGR.AS   -0.108889
dtype: float64"
1,1,2025-01-02,VASTNED BELGIUM,BE0003754687,Amsterdam,VASTB.BR,"Ticker
VASTB.BR    0.0
Name: 2025-01-02 00:00:00, dtype: float64","Ticker
VASTB.BR   -0.034364
dtype: float64"
2,2,2024-12-20,IRIS FINANCIAL SHA,KYG7552D1354,Amsterdam,YOUNI.AS,,
3,3,2024-12-16,HAVAS,NL0015002AH0,Amsterdam,HAVAS.AS,"Ticker
HAVAS.AS    0.0
Name: 2024-12-16 00:00:00, dtype: float64","Ticker
HAVAS.AS   -0.158242
dtype: float64"
4,4,2024-06-27,THE LONDON TUNNELS,GB00BS28ZN53,Amsterdam,TLT.AS,"Ticker
TLT.AS    0.0
Name: 2024-06-27 00:00:00, dtype: float64","Ticker
TLT.AS    0.037383
dtype: float64"
5,5,2024-04-26,CVC CAPITAL,JE00BRX98089,Amsterdam,CVC.AS,"Ticker
CVC.AS    0.0
Name: 2024-04-26 00:00:00, dtype: float64","Ticker
CVC.AS    0.108868
dtype: float64"
6,6,2024-02-07,THEON INTERNAT,CY0200751713,Amsterdam,THEON.AS,"Ticker
THEON.AS    0.0
Name: 2024-02-07 00:00:00, dtype: float64","Ticker
THEON.AS    0.296531
dtype: float64"
7,7,2023-10-03,QEV,NL0015000NM7,Amsterdam,QEV.AS,"Ticker
QEV.AS    0.0
Name: 2023-10-03 00:00:00, dtype: float64","Ticker
QEV.AS    0.0
dtype: float64"
8,8,2023-07-07,GIG,GG00BMB5XZ39,Amsterdam,,,
9,9,2023-06-16,FERROVIAL,NL0015001FS8,Amsterdam,FER.MC,"Ticker
FER.MC    0.0
Name: 2023-06-16 00:00:00, dtype: float64","Ticker
FER.MC    0.026808
dtype: float64"
10,10,2023-04-18,DSM FIRMENICH AG,CH1216478797,Amsterdam,DSFIR.AS,"Ticker
DSFIR.AS    0.0
Name: 2023-04-18 00:00:00, dtype: float64","Ticker
DSFIR.AS   -0.012738
dtype: float64"
11,11,2022-08-12,EXOR N.V.,NL0012059018,Amsterdam,EXO.AS,"Ticker
EXO.AS    0.0
Name: 2022-08-12 00:00:00, dtype: float64","Ticker
EXO.AS   -0.036903
dtype: float64"
12,12,2022-07-01,FL ENTERTAINMENT,NL0015000X07,Amsterdam,BNJ.AS,"Ticker
BNJ.AS    0.0
Name: 2022-07-01 00:00:00, dtype: float64","Ticker
BNJ.AS   -0.001913
dtype: float64"
13,13,2022-04-28,RA SPECIAL ACQUISITION,KYG7552D1016,Amsterdam,,,
14,14,2022-04-25,BENEVOLENTAI,LU2355630455,Amsterdam,,,
15,15,2022-03-01,CABKA,NL00150000S7,Amsterdam,CABKA.AS ,"Ticker
CABKA.AS    0.0
Name: 2022-03-01 00:00:00, dtype: float64","Ticker
CABKA.AS   -0.156219
dtype: float64"
16,16,2022-02-04,GP BHND SHA,LU2434421173,Amsterdam,,,
17,17,2022-02-02,AZERION,NL00150006Z9,Amsterdam,AZRN.AS,"Ticker
AZRN.AS    0.0
Name: 2022-02-02 00:00:00, dtype: float64","Ticker
AZRN.AS   -0.015856
dtype: float64"
18,18,2021-12-10,PEGASUS ENTREP SHA,NL0015000H31,Amsterdam,,,
19,19,2021-12-10,BRIGADE M3 SHA,KYG137071075,Amsterdam,,,
20,20,2021-12-06,EPIC Ord Shares,KYG3166N1060,Amsterdam,,,
21,21,2021-11-18,EHC ORD SHARES,NL0015000K10,Amsterdam,,,
22,22,2021-11-11,SPR1 ORD SHARES,NL0015000NM7,Amsterdam,QEV.AS,"Ticker
QEV.AS    0.0
Name: 2021-11-11 00:00:00, dtype: float64","Ticker
QEV.AS    0.019368
dtype: float64"
23,23,2021-11-05,MOTORK,GB00BMXH3352,Amsterdam,MTRK.AS,"Ticker
MTRK.AS    0.0
Name: 2021-11-05 00:00:00, dtype: float64","Ticker
MTRK.AS    0.075
dtype: float64"
24,24,2021-10-22,Ebusco Holding,NL0015000CZ2,Amsterdam,EBUS.AS ,"Ticker
EBUS.AS    0.0
Name: 2021-10-22 00:00:00, dtype: float64","Ticker
EBUS.AS    0.077586
dtype: float64"
25,25,2021-10-21,ONWARD Medical,NL0015000HT4,Amsterdam,ONWD.BR,"Ticker
ONWD.BR    0.0
Name: 2021-10-21 00:00:00, dtype: float64","Ticker
ONWD.BR   -0.094192
dtype: float64"
26,26,2021-10-07,DISRUPTIVE CAP SHA,GG00BMB5XZ39,Amsterdam,,,
27,27,2021-09-24,MAJOREL GROUP LUX,LU2382956378,Amsterdam,,,
28,28,2021-09-21,UMG,NL0015000IY2,Amsterdam,UMG.AS,"Ticker
UMG.AS    0.0
Name: 2021-09-21 00:00:00, dtype: float64","Ticker
UMG.AS    0.001237
dtype: float64"
29,29,2021-07-19,ENERGY TRANSITION PARTNERS,NL0015000F82,Amsterdam,,,
30,30,2021-07-19,VAM INVEST SHARES,NL0015000G40,Amsterdam,,,
31,31,2021-07-06,NEW AMSTERDAM INVEST,NL0015000CG2,Amsterdam,NAI.AS,"Ticker
NAI.AS    0.0
Name: 2021-07-06 00:00:00, dtype: float64","Ticker
NAI.AS    0.1
dtype: float64"
32,32,2021-07-02,ODYSSEY ORD SHARES,LU2355630455,Amsterdam,,,
33,33,2021-06-30,CLIMATE TRANSITION CAPITAL ACQUISITION I,NL0015000DC9,Amsterdam,,,
