Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European ETFS, Funds, ETVs, ETNs. Type : Funds"
"14 May 2025"
"ADD VALUE FUND";NL0009388743;AVFNV;"Euronext Amsterdam";EUR;97,70;97,70;97,70;97,70;"13/05/2025 10:00";CET;14242;'1391443,40
"AGHY FUND";NL0000685576;AGHY;"Euronext Amsterdam";EUR;14,32;14,32;14,32;14,32;"13/05/2025 10:00";CET;170;2434,40
"Arcona Property Fd";NL0006311706;ARCPF;"Euronext Amsterdam";EUR;6,99;6,99;6,99;6,99;"'07/04/2025 17:14";CET;25;174,75
"ASN B BIODIV FONDS";NL0015000JW4;ASNBD;"Euronext Amsterdam";EUR;22,67;22,67;22,67;22,67;"13/05/2025 10:00";CET;150;3400,50
"ASN Energie&Innov";NL0014270258;ASNGF;"Euronext Amsterdam";EUR;24,61;24,61;24,61;24,61;"13/05/2025 10:00";CET;8320;'204755,20
"ASN Microkred. fnd";NL0014270266;ASNMF;"Euronext Amsterdam";EUR;52,87;52,87;52,87;52,87;"13/05/2025 10:00";CET;827;43723,49
"ASN MIXF DEFENSIEF";NL0014270282;ASND;"Euronext Amsterdam";EUR;55,41;55,41;55,41;55,41;"13/05/2025 10:00";CET;1280;70924,80
"ASN MIXF NEUTRAAL";NL0014270290;ASNN;"Euronext Amsterdam";EUR;62,25;62,25;62,25;62,25;"13/05/2025 10:00";CET;1225;76256,25
"ASN MIXF OFFENSIEF";NL0014270308;ASNO;"Euronext Amsterdam";EUR;72,74;72,74;72,74;72,74;"13/05/2025 10:00";CET;7769;'565117,06
"ASN MIXF ZEER DEF";NL0014270274;ASNZD;"Euronext Amsterdam";EUR;50,24;50,24;50,24;50,24;"13/05/2025 10:00";CET;461;23160,64
"ASN MIXF ZEER OFF";NL0014270316;ASNZO;"Euronext Amsterdam";EUR;80,71;80,71;80,71;80,71;"13/05/2025 10:00";CET;4254;'343340,34
"ASNU AANDELENFONDS";NL0014270225;ASN;"Euronext Amsterdam";EUR;163,64;163,64;163,64;163,64;"13/05/2025 10:00";CET;819;'134021,16
"ASNU MILIEU WATER";NL0014270233;ASNML;"Euronext Amsterdam";EUR;48,28;48,28;48,28;48,28;"13/05/2025 10:00";CET;2014;97235,92
"ASNU OBLIGATIEFOND";NL0014270209;ASNOB;"Euronext Amsterdam";EUR;25,12;25,12;25,12;25,12;"13/05/2025 10:00";CET;927;23286,24
"ASNU SMALL MIDCAPF";NL0014270217;ASN5;"Euronext Amsterdam";EUR;42,97;42,97;42,97;42,97;"13/05/2025 10:00";CET;774;33258,78
"BNP ESG GPS IND FD";NL0006294092;BGPSF;"Euronext Amsterdam";EUR;57,71;57,71;57,71;57,71;"13/05/2025 10:00";CET;909;52458,39
"BNP GL IN MF EQ FD";NL0006294167;BGHEF;"Euronext Amsterdam";EUR;86,45;86,45;86,45;86,45;"13/05/2025 10:00";CET;1142;98725,90
"BNP NL";NL0012727432;BNPNL;"Euronext Amsterdam";EUR;260,76;260,76;260,76;260,76;"13/05/2025 10:00";CET;561;'146286,36
"CARDANO ESG EQ EU";NL0010579074;AVEA;"Euronext Amsterdam";EUR;32,23;32,23;32,23;32,23;"'08/05/2025 10:00";CET;19;612,37
"Cardano ESGT EMD";NL0015063751;CEMD;"Euronext Amsterdam";EUR;25,85;25,85;25,85;25,85;"'08/05/2025 10:00";CET;855;22101,75
"CARDANO EUR CREDIT";NL0010579090;AIEC;"Euronext Amsterdam";EUR;19,23;19,23;19,23;19,23;"12/05/2025 10:00";CET;229;4403,67
