"Datum","Laatste","Open","Hoog","Laag","Vol.","+/- %"
"01-05-2025","6,99","6,99","6,99","6,99","","0,00%"
"01-04-2025","6,99","6,50","6,99","6,50","0,57K","-0,14%"
"01-03-2025","7,00","7,00","7,00","6,02","18,77K","0,14%"
"01-02-2025","6,99","6,95","7,00","6,01","10,63K","2,79%"
"01-01-2025","6,80","6,80","7,00","6,03","7,20K","12,40%"
"01-12-2024","6,05","6,55","6,80","6,05","2,68K","-7,63%"
"01-11-2024","6,55","6,65","6,80","6,50","8,67K","-3,82%"
"01-10-2024","6,81","6,60","6,94","6,50","13,72K","3,18%"
"01-09-2024","6,60","6,30","6,90","6,30","33,03K","3,12%"
"01-08-2024","6,40","6,21","6,43","6,20","3,51K","-0,47%"
"01-07-2024","6,43","6,45","6,49","5,87","7,46K","-0,16%"
"01-06-2024","6,44","5,74","6,44","5,51","15,57K","11,23%"
"01-05-2024","5,79","5,50","6,00","5,25","7,09K","5,46%"
"01-04-2024","5,49","5,19","5,49","5,03","47,82K","5,58%"
"01-03-2024","5,20","4,95","5,20","4,95","1,70K","0,00%"
"01-02-2024","5,20","4,90","5,20","4,50","54,64K","6,78%"
"01-01-2024","4,87","4,66","4,99","4,65","15,11K","-2,60%"
"01-12-2023","5,00","4,46","5,20","3,80","22,55K","-5,66%"
"01-11-2023","5,30","4,55","5,30","4,50","8,34K","7,07%"
"01-10-2023","4,95","5,05","5,60","4,00","133,23K","-6,60%"
"01-09-2023","5,30","5,09","5,30","5,00","4,15K","-0,93%"
"01-08-2023","5,35","5,19","5,44","5,13","0,55K","-1,65%"
"01-07-2023","5,44","5,31","5,44","5,00","5,48K","0,37%"
"01-06-2023","5,42","5,08","5,45","4,83","4,48K","-0,55%"
"01-05-2023","5,45","5,40","5,45","5,15","1,73K","0,00%"
"01-04-2023","5,45","5,45","5,45","5,07","7,67K","0,00%"
"01-03-2023","5,45","5,40","5,62","5,30","18,72K","-3,02%"
"01-02-2023","5,62","5,76","5,90","5,31","10,35K","-3,44%"
"01-01-2023","5,82","5,90","6,00","5,23","41,04K","-1,36%"
"01-12-2022","5,90","6,02","6,02","4,61","13,04K","-2,32%"
"01-11-2022","6,04","5,95","6,05","5,95","7,22K","0,00%"
"01-10-2022","6,04","6,60","6,60","5,73","33,01K","-7,79%"
"01-09-2022","6,55","6,34","7,08","6,34","274,35K","3,15%"
"01-08-2022","6,35","6,25","6,50","6,06","14,67K","1,60%"
"01-07-2022","6,25","6,06","6,25","5,96","15,45K","0,00%"
"01-06-2022","6,25","6,25","6,25","5,65","11,96K","3,31%"
"01-05-2022","6,05","6,09","6,25","6,00","11,92K","0,00%"
"01-04-2022","6,05","6,25","6,25","6,05","8,46K","0,50%"
"01-03-2022","6,02","6,80","6,80","6,02","6,26K","-11,47%"
"01-02-2022","6,80","6,97","7,49","6,80","16,06K","-3,41%"
"01-01-2022","7,04","7,43","7,43","6,75","10,79K","-6,13%"
"01-12-2021","7,50","7,09","7,50","7,00","9,26K","6,99%"
"01-11-2021","7,01","7,33","7,45","6,98","11,07K","-3,97%"
"01-10-2021","7,30","7,46","7,55","7,13","18,92K","-2,54%"
"01-09-2021","7,49","6,47","7,60","6,20","117,12K","14,18%"
"01-08-2021","6,56","6,20","7,00","5,95","45,16K","6,67%"
"01-07-2021","6,15","6,03","6,20","5,94","38,69K","3,36%"
