EUROPEAN CODE,LEI,FUND NAME,MANAGEMENT NAME,ADDRESS,INVESTMENT POLICY,CAPITAL VARIABILITY,ISIN CODE
NL8522533,,Affor Analytics Systematic Equity Fund,Affor Analytics B.V.,,Equities,Closed,
NL4351385,,Bencis IV Continuation Fund Coöperatief U.A.,BENCIS Capital Partners B.V.,"Strawinskylaan 1577, 1077 , AMSTERDAM",Equities,Closed,
NL1001525087,,Bencis VI C.V.,BENCIS Capital Partners B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
NL1001525080,,Bencis VI Coöperatief U.A.,BENCIS Capital Partners B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL1906925,,Bolster II Feeder Fund C.V.,,"Locatellikade 1, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL10052120,,Co-invest CPA Coöperatie U.A.,TIIN Capital B.V.,"Gooimeer 6 05, 1411 , NAARDEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL4377881,,Coöperatieve Gilde Healthcare Private Equity IV U.A.,Gilde Healthcare Partners B.V.,"Newtonlaan, 3584 , UTRECHT",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL10052973,724500LUEL3QN8W54G48,Coöperatieve Gilde Healthcare V U.A.,Gilde Healthcare Partners B.V.,"Newtonlaan 91, 3584 , UTRECHT",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL4401119,7245006L7AF3Z4F4FU03,Coöperatieve Gilde Healthcare VG VI U.A.,Gilde Healthcare Partners B.V.,"Stadsplateau 36, 3521 , UTRECHT",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL10030464,,De Zonnewijser,Van Lanschot Kempen Investment Management N.V.,,Equities,Closed,NL0000215366                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL1823602,,DIF VI Co-Invest Project 2C C.V.,DIF Management B.V.,"Schiphol Boulevard 269, 1118 , SCHIPHOL",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL10052124,,Dutch Security TechFund 4 C.V.,TIIN Capital B.V.,"Gooimeer 6 05, 1411 , NAARDEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
