"Datum","Laatste","Open","Hoog","Laag","+/- %"
"Mei 2025","130,960","121,490","130,960","121,490","8,27%"
"Apr 2025","120,960","125,360","125,960","113,620","-4,30%"
"Mrt 2025","126,390","134,250","134,250","124,250","-5,28%"
"Feb 2025","133,440","134,760","137,580","133,440","-1,07%"
"Jan 2025","134,880","132,540","135,800","131,580","1,89%"
"Dec 2024","132,380","132,150","136,650","132,150","0,72%"
"Nov 2024","131,440","125,390","132,260","125,390","2,96%"
"Okt 2024","127,660","127,420","130,450","126,530","-0,02%"
"Sep 2024","127,680","127,720","127,720","121,410","0,42%"
"Aug 2024","127,140","127,140","127,610","119,550","0,07%"
"Jul 2024","127,050","129,400","131,850","125,930","-2,85%"
"Jun 2024","130,780","125,610","130,950","125,610","3,87%"
"Mei 2024","125,910","123,910","128,900","123,910","0,22%"
"Apr 2024","125,630","127,020","127,020","122,190","-0,70%"
"Mrt 2024","126,510","123,910","126,580","123,250","2,77%"
"Feb 2024","123,100","117,470","123,760","117,470","3,29%"
"Jan 2024","119,180","114,740","119,410","112,220","4,11%"
"Dec 2023","114,480","110,540","115,160","110,540","4,56%"
"Nov 2023","109,490","103,870","109,910","103,870","6,48%"
"Okt 2023","102,830","106,860","108,680","102,190","-3,52%"
"Sep 2023","106,580","111,390","112,020","106,580","-4,25%"
"Aug 2023","111,310","115,770","115,770","108,910","-3,52%"
"Jul 2023","115,370","114,120","115,370","111,220","2,37%"
"Jun 2023","112,700","111,440","114,690","110,600","0,75%"
"Mei 2023","111,860","109,350","112,250","108,450","2,29%"
"Apr 2023","109,360","109,970","110,070","108,220","0,71%"
"Mrt 2023","108,590","109,310","110,550","104,820","-0,35%"
"Feb 2023","108,970","109,220","112,600","108,570","0,90%"
"Jan 2023","108,000","101,470","109,270","101,470","5,71%"
"Dec 2022","102,170","109,190","109,190","100,780","-3,47%"
"Nov 2022","105,840","103,660","107,490","100,660","2,04%"
"Okt 2022","103,720","99,790","104,400","99,010","3,34%"
"Sep 2022","100,370","107,400","111,310","100,370","-7,68%"
"Aug 2022","108,720","111,890","116,490","108,720","-2,04%"
"Jul 2022","110,980","99,970","110,980","99,970","10,06%"
"Jun 2022","100,840","108,600","110,420","97,580","-7,87%"
"Mei 2022","109,450","111,980","114,080","103,690","-4,09%"
"Apr 2022","114,120","121,100","123,900","111,620","-6,85%"
"Mrt 2022","122,510","118,190","123,870","111,440","4,55%"
"Feb 2022","117,180","120,890","122,730","112,770","-0,94%"
"Jan 2022","118,290","127,190","129,210","116,580","-8,01%"
"Dec 2021","128,590","125,210","128,590","123,430","1,25%"
"Nov 2021","127,000","126,110","130,230","125,670","1,50%"
"Okt 2021","125,120","120,240","125,460","118,990","3,53%"
"Sep 2021","120,850","125,160","125,770","120,400","-3,43%"
"Aug 2021","125,140","120,620","125,140","120,500","3,43%"
"Jul 2021","120,990","118,760","122,750","118,760","1,63%"
"Jun 2021","119,050","113,000","119,050","112,420","4,86%"
"Mei 2021","113,530","113,270","113,530","109,830","0,15%"
"Apr 2021","113,360","110,570","114,150","110,570","2,86%"
"Mrt 2021","110,210","103,030","110,210","102,740","6,24%"
"Feb 2021","103,740","100,250","107,710","100,250","1,75%"
"Jan 2021","101,960","99,450","103,410","99,450","2,80%"
