date,ABN AMRO BANK - DIVIDEND YIELD,ABN AMRO BANK - MRKT VALUE TO BOOK,ADYEN - DIVIDEND YIELD,ADYEN - MRKT VALUE TO BOOK,AEGON - DIVIDEND YIELD,AEGON - MRKT VALUE TO BOOK,KONINKLIJKE AHOLD DELHAIZE - DIVIDEND YIELD,KONINKLIJKE AHOLD DELHAIZE - MRKT VALUE TO BOOK,AKZO NOBEL - DIVIDEND YIELD,AKZO NOBEL - MRKT VALUE TO BOOK,ARCELORMITTAL - DIVIDEND YIELD,ARCELORMITTAL - MRKT VALUE TO BOOK,ASM INTERNATIONAL - DIVIDEND YIELD,ASM INTERNATIONAL - MRKT VALUE TO BOOK,ASML HOLDING - DIVIDEND YIELD,ASML HOLDING - MRKT VALUE TO BOOK,ASR NEDERLAND - DIVIDEND YIELD,ASR NEDERLAND - MRKT VALUE TO BOOK,BE SEMICONDUCTOR INDUSTRIES - DIVIDEND YIELD,BE SEMICONDUCTOR INDUSTRIES - MRKT VALUE TO BOOK,DSM FIRMENICH - DIVIDEND YIELD,DSM FIRMENICH - MRKT VALUE TO BOOK,EXOR NV ORD - DIVIDEND YIELD,HEINEKEN - DIVIDEND YIELD,HEINEKEN - MRKT VALUE TO BOOK,IMCD GROUP - DIVIDEND YIELD,IMCD GROUP - MRKT VALUE TO BOOK,ING GROEP - DIVIDEND YIELD,ING GROEP - MRKT VALUE TO BOOK,KPN KON - DIVIDEND YIELD,KPN KON - MRKT VALUE TO BOOK,NN GROUP - DIVIDEND YIELD,NN GROUP - MRKT VALUE TO BOOK,PHILIPS ELTN.KONINKLIJKE - DIVIDEND YIELD,PHILIPS ELTN.KONINKLIJKE - MRKT VALUE TO BOOK,PROSUS N - DIVIDEND YIELD,PROSUS N - MRKT VALUE TO BOOK,RANDSTAD - DIVIDEND YIELD,RANDSTAD - MRKT VALUE TO BOOK,RELX (AMS) - DIVIDEND YIELD,SHELL (AMS) - DIVIDEND YIELD,SHELL (AMS) - MRKT VALUE TO BOOK,UNIVERSAL MUSIC GROUP - DIVIDEND YIELD,UNIVERSAL MUSIC GROUP - MRKT VALUE TO BOOK,UNILEVER (UK) (AMS) - DIVIDEND YIELD,WOLTERS KLUWER - DIVIDEND YIELD,WOLTERS KLUWER - MRKT VALUE TO BOOK
3/26/1987,,,,,3.66,1.5,1.63,2.32,4.64,1.5,,,,,,,,,,,,,,2.03,1.8,,,,,,,,,4.01,0.74,,,,,,7.27,,,,,1.7,2.77
4/26/1987,,,,,3.56,1.54,1.64,2.31,4.85,1.43,,,,,,,,,,,,,,1.96,1.86,,,,,,,,,4.01,0.75,,,,,,7.22,,,,,1.53,3.08
5/26/1987,,,,,3.68,1.53,1.55,2.22,5.1,1.36,,,,,,,,,,,,,,2.02,1.81,,,,,,,,,4.17,0.72,,,,,,6.81,,,,,1.72,3.11
6/26/1987,,,,,3.34,1.69,1.55,2.44,4.27,1.63,,,,,,,,,,,,,,1.95,1.87,,,,,,,,,3.85,0.78,,,,,,6.64,,,,,1.61,3.31
7/26/1987,,,,,3.33,1.69,1.51,2.51,4.03,1.72,,,,,,,,,,,,,,1.84,1.98,,,,,,,,,3.6,0.83,,,,,,6.13,,,,,1.72,3.11
8/26/1987,,,,,3.2,1.76,1.47,2.58,3.72,1.87,,,,,,,,,,,,,,1.8,2.02,,,,,,,,,3.77,0.79,,,,,,6.34,,,,,1.7,4.38
9/26/1987,,,,,3.7,1.52,1.53,2.47,3.73,1.86,,,,,,,,,,,,,,2.0,1.82,,,,,,,,,3.95,0.76,,,,,,6.71,,,,,1.63,4.57
10/26/1987,,,,,5.49,1.03,2.61,1.45,5.28,1.32,,,,,,,,,,,,,,2.63,1.39,,,,,,,,,5.24,0.57,,,,,,8.39,,,,,2.23,3.39
11/26/1987,,,,,5.87,0.96,2.56,1.48,7.4,0.94,,,,,,,,,,,,,,2.87,1.27,,,,,,,,,6.69,0.45,,,,,,8.7,,,,,2.12,3.56
12/26/1987,,,,,5.15,1.1,2.48,1.53,7.11,0.98,,,,,,,,,,,,,,2.73,1.33,,,,,,,,,7.25,0.41,,,,,,8.48,,,,,1.93,3.92
1/26/1988,,,,,5.56,0.79,2.29,1.41,7.39,0.84,,,,,,,,,,,,,,2.9,1.12,,,,,,,,,8.3,0.34,,,,,,8.47,,,,,1.89,3.43
2/26/1988,,,,,5.02,0.87,2.19,1.47,6.6,0.94,,,,,,,,,,,,,,2.99,1.08,,,,,,,,,7.58,0.37,,,,,,8.21,,,,,1.77,3.66
3/26/1988,,,,,4.72,0.93,2.3,1.4,6.29,0.98,,,,,,,,,,,,,,2.75,1.18,,,,,,,,,7.04,0.4,,,,,,7.83,,,,,1.81,3.6
4/26/1988,,,,,5.08,0.98,2.27,1.42,6.01,1.03,,,,,,,,,,,,,,2.77,1.17,,,,,,,,,7.04,0.4,,,,,,7.39,,,,,1.67,3.88
5/26/1988,,,,,4.89,1.03,2.25,1.43,6.08,1.02,,,,,,,,,,,,,,2.73,1.19,,,,,,,,,7.33,0.38,,,,,,7.75,,,,,1.94,4.04
6/26/1988,,,,,4.33,1.16,1.95,1.65,5.27,1.17,,,,,,,,,,,,,,2.44,1.33,,,,,,,,,6.12,0.46,,,,,,7.36,,,,,1.81,4.32
