"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2019","11.83","11.53","12.08","11.51","","2.96%"
"07/23/2019","11.49","11.68","11.90","11.47","","-6.13%"
"07/22/2019","12.24","12.44","12.53","12.06","","1.49%"
"07/19/2019","12.06","11.71","12.63","11.55","","-0.17%"
"07/18/2019","12.08","12.13","12.44","11.87","","4.68%"
"07/17/2019","11.54","11.24","11.62","10.72","","2.12%"
"07/16/2019","11.30","11.89","11.96","10.94","","-4.07%"
"07/15/2019","11.78","11.70","12.50","11.48","","1.55%"
"07/12/2019","11.60","11.53","12.30","11.29","","-0.26%"
"07/11/2019","11.63","11.61","11.92","11.18","","-4.04%"
"07/10/2019","12.12","12.06","12.48","11.66","","0.00%"
"07/09/2019","12.12","12.29","12.81","11.96","","0.92%"
"07/08/2019","12.01","12.36","12.36","12.01","","2.13%"
"07/05/2019","11.76","11.39","12.11","11.30","","3.70%"
"07/04/2019","11.34","11.07","11.41","10.96","","1.89%"
"07/03/2019","11.13","11.20","11.23","10.76","","-0.98%"
"07/02/2019","11.24","11.44","11.66","11.19","","-2.60%"
"07/01/2019","11.54","11.47","11.79","11.36","","-9.56%"
"06/28/2019","12.76","13.14","13.29","12.72","","-3.11%"
"06/27/2019","13.17","12.91","13.73","11.93","","0.92%"
"06/26/2019","13.05","13.12","13.14","12.58","","1.40%"
"06/25/2019","12.87","13.10","13.20","12.78","","-1.08%"
"06/24/2019","13.01","12.33","13.07","12.18","","6.12%"
"06/21/2019","12.26","12.13","12.41","11.94","","1.66%"
"06/20/2019","12.06","11.24","12.08","11.17","","-1.71%"
"06/19/2019","12.27","12.06","12.48","11.98","","1.49%"
"06/18/2019","12.09","12.90","13.24","11.91","","-4.20%"
"06/17/2019","12.62","12.89","13.29","12.59","","0.32%"
"06/14/2019","12.58","12.89","13.85","12.56","","1.29%"
"06/13/2019","12.42","13.24","13.39","12.42","","-5.91%"
"06/12/2019","13.20","13.55","13.68","13.14","","0.38%"
"06/11/2019","13.15","13.37","13.43","12.85","","-2.30%"
"06/10/2019","13.46","13.78","13.87","13.38","","-0.30%"
"06/07/2019","13.50","13.94","13.97","13.29","","-5.20%"
"06/06/2019","14.24","14.43","14.72","13.28","","-2.33%"
"06/05/2019","14.58","14.64","15.04","14.21","","-1.02%"
"06/04/2019","14.73","16.05","16.17","14.72","","-5.94%"
"06/03/2019","15.66","16.86","17.31","15.52","","-0.95%"
"05/31/2019","15.81","16.64","17.03","15.71","","4.01%"
"05/30/2019","15.20","15.29","15.58","14.72","","-5.06%"
"05/29/2019","16.01","15.56","16.46","15.56","","10.26%"
"05/28/2019","14.52","14.48","15.40","14.25","","-0.62%"
"05/27/2019","14.61","14.98","15.00","14.44","","-2.47%"
"05/24/2019","14.98","15.35","15.35","14.51","","-6.90%"
"05/23/2019","16.09","14.46","16.25","14.46","","18.31%"
"05/22/2019","13.60","13.85","14.74","13.14","","-1.66%"
"05/21/2019","13.83","14.27","14.68","13.66","","-7.92%"
"05/20/2019","15.02","13.07","15.38","13.07","","14.92%"
"05/17/2019","13.07","13.19","14.19","12.91","","0.38%"
"05/16/2019","13.02","14.24","14.65","12.87","","-9.46%"
"05/15/2019","14.38","15.18","16.41","14.33","","-7.70%"
"05/14/2019","15.58","16.75","16.95","15.45","","-11.63%"
"05/13/2019","17.63","16.13","18.31","16.00","","6.98%"
"05/10/2019","16.48","16.68","17.51","15.84","","-10.14%"
"05/09/2019","18.34","17.25","19.16","16.86","","16.00%"
"05/08/2019","15.81","15.91","17.04","15.27","","-2.89%"
"05/07/2019","16.28","14.05","16.59","13.49","","14.97%"
"05/06/2019","14.16","14.47","15.69","13.03","","16.83%"
"05/03/2019","12.12","12.43","12.51","12.02","","-5.16%"
"05/02/2019","12.78","12.14","12.78","12.04","","8.67%"
"04/30/2019","11.76","11.84","12.22","11.73","","-1.75%"
"04/29/2019","11.97","12.03","12.52","11.70","","2.22%"
"04/26/2019","11.71","12.23","12.40","11.05","","-2.82%"
"04/25/2019","12.05","11.87","12.67","11.69","","2.47%"
"04/24/2019","11.76","11.49","11.88","11.49","","3.52%"
"04/23/2019","11.36","11.36","11.41","11.11","","8.40%"
"04/18/2019","10.48","10.80","11.16","10.45","","-2.78%"
"04/17/2019","10.78","10.40","11.02","10.23","","0.47%"
"04/16/2019","10.73","10.46","10.77","10.24","","2.00%"
"04/15/2019","10.52","11.10","11.22","10.45","","-1.50%"
"04/12/2019","10.68","11.29","11.53","10.64","","-3.00%"
"04/11/2019","11.01","12.11","12.38","10.98","","-10.99%"
"04/10/2019","12.37","12.89","12.91","12.11","","-5.86%"
"04/09/2019","13.14","13.22","13.51","12.49","","-0.23%"
"04/08/2019","13.17","12.85","13.29","12.75","","7.07%"
"04/05/2019","12.30","12.91","12.91","12.25","","-5.46%"
"04/04/2019","13.01","12.88","13.08","12.79","","1.72%"
"04/03/2019","12.79","13.11","13.14","12.73","","-5.68%"
"04/02/2019","13.56","13.45","13.71","13.17","","0.07%"
"04/01/2019","13.55","13.59","14.01","11.85","","-1.31%"
"03/29/2019","13.73","14.21","14.63","13.59","","-9.07%"
"03/28/2019","15.10","14.76","15.35","14.38","","2.17%"
"03/27/2019","14.78","14.17","15.59","14.02","","3.07%"
"03/26/2019","14.34","15.58","15.71","14.18","","-8.31%"
"03/25/2019","15.64","16.65","16.76","15.62","","-0.70%"
"03/22/2019","15.75","13.75","15.81","13.61","","11.23%"
"03/21/2019","14.16","13.25","15.06","13.24","","6.71%"
"03/20/2019","13.27","12.64","13.29","12.42","","7.89%"
"03/19/2019","12.30","12.25","12.46","11.96","","0.33%"
"03/18/2019","12.26","12.72","12.76","12.26","","2.08%"
"03/15/2019","12.01","13.02","13.09","11.82","","-7.90%"
"03/14/2019","13.04","12.40","13.21","12.32","","2.44%"
"03/13/2019","12.73","13.19","13.30","12.31","","-4.86%"
"03/12/2019","13.38","13.11","13.56","12.95","","2.53%"
"03/11/2019","13.05","13.15","13.59","12.84","","0.08%"
"03/08/2019","13.04","12.77","13.79","11.85","","6.71%"
"03/07/2019","12.22","12.34","13.04","9.25","","-1.13%"
"03/06/2019","12.36","12.57","12.88","12.28","","-0.56%"
"03/05/2019","12.43","12.66","12.96","12.10","","-1.66%"
"03/04/2019","12.64","12.93","13.04","12.37","","-0.47%"
"03/01/2019","12.70","12.65","13.34","12.58","","-1.47%"
"02/28/2019","12.89","13.75","13.86","12.57","","-5.22%"
"02/27/2019","13.60","13.36","25.10","12.42","","4.53%"
"02/26/2019","13.01","13.41","126.58","12.80","","0.77%"
"02/25/2019","12.91","12.72","15.23","12.65","","1.33%"
"02/22/2019","12.74","13.30","33.85","8.34","","-3.48%"
"02/21/2019","13.20","13.10","13.51","12.89","","-1.12%"
"02/20/2019","13.35","13.57","13.78","12.60","","-2.48%"
"02/19/2019","13.69","13.72","14.34","13.44","","0.59%"
"02/18/2019","13.61","13.59","14.13","12.67","","2.41%"
"02/15/2019","13.29","14.67","16.62","13.03","","-8.53%"
"02/14/2019","14.53","13.29","26.68","12.87","","7.31%"
"02/13/2019","13.54","13.52","13.74","13.26","","0.30%"
"02/12/2019","13.50","13.80","15.60","13.38","","-6.57%"
"02/11/2019","14.45","14.70","15.07","14.25","","-5.56%"
"02/08/2019","15.30","15.31","16.06","14.78","","1.80%"
