date,Price,Open,High,Low,Change
01/01/2021,21.09,21.09,21.09,21.09,0.00
12/01/2020,21.09,20.24,27.73,18.73,-1.05
11/01/2020,21.32,33.16,33.76,18.06,-35.33
10/01/2020,32.96,25.16,37.08,18.64,30.03
09/01/2020,25.35,24.94,31.71,20.95,-0.82
08/01/2020,25.56,27.02,27.52,20.99,-2.51
07/01/2020,26.22,29.88,52.73,12.25,-13.30
06/01/2020,30.24,29.92,43.06,0.00,-0.24
05/01/2020,30.32,38.61,41.83,27.02,-12.87
04/01/2020,34.79,59.54,61.44,31.24,-37.92
03/01/2020,56.04,35.60,174.43,14.60,36.35
02/01/2020,41.10,16.46,46.23,12.49,147.69
01/01/2020,16.59,12.83,17.06,10.10,24.01
12/01/2019,13.38,12.12,51.92,7.93,10.69
11/01/2019,12.09,12.00,1,146.48,-1.51
10/01/2019,12.27,13.74,115.89,11.08,-13.59
09/01/2019,14.20,16.17,17.30,10.97,-11.11
08/01/2019,15.98,12.57,24.80,11.90,21.47
07/01/2019,13.16,11.47,13.61,10.72,3.12
06/01/2019,12.76,16.86,17.31,11.17,-19.28
05/01/2019,15.81,12.14,19.16,12.02,34.39
04/01/2019,11.76,13.59,14.01,10.23,-14.37
03/01/2019,13.73,12.65,16.76,9.25,6.57
02/01/2019,12.89,14.03,126.57,8.34,-10.08
01/01/2019,14.33,22.73,23.23,14.06,-33.42
12/01/2018,21.52,14.90,29.06,13.17,29.47
11/01/2018,16.63,17.35,19.02,13.53,-6.39
10/01/2018,17.76,12.70,22.91,11.89,42.64
09/01/2018,12.45,13.44,15.75,9.81,-5.25
08/01/2018,13.14,11.35,16.41,9.75,15.59
07/01/2018,11.37,16.18,16.47,10.58,-20.16
06/01/2018,14.24,14.17,17.06,10.09,-2.57
05/01/2018,14.61,12.00,93.04,10.32,21.29
04/01/2018,12.05,16.49,18.20,11.02,-19.45
03/01/2018,14.96,15.47,21.37,5.58,-0.38
02/01/2018,15.02,12.37,134.71,11.82,17.30
01/01/2018,12.80,12.69,13.23,8.97,6.00
12/01/2017,12.08,11.88,14.03,9.01,1.67
11/01/2017,11.88,10.66,78.46,10.43,12.59
10/01/2017,10.55,10.67,12.87,9.66,0.00
09/01/2017,10.55,12.83,14.24,9.49,-19.29
08/01/2017,13.07,11.52,19.27,10.66,10.90
07/01/2017,11.78,14.74,14.89,10.50,-22.29
06/01/2017,15.17,12.05,16.48,9.67,25.67
05/01/2017,12.07,13.41,16.10,11.19,-7.65
04/01/2017,13.07,14.32,20.11,12.19,-4.00
03/01/2017,13.61,14.14,14.98,8.87,-8.34
02/01/2017,14.85,15.33,16.05,13.02,-5.86
01/01/2017,15.78,17.40,17.46,13.09,-4.81
12/01/2016,16.57,19.26,21.26,13.11,-12.46
11/01/2016,18.93,19.35,109.90,17.72,-5.58
10/01/2016,20.05,18.12,20.41,15.31,15.98
09/01/2016,17.29,16.68,20.87,12.88,2.02
08/01/2016,16.95,17.71,21.06,15.78,-4.29
07/01/2016,17.71,22.75,26.30,16.13,-22.96
06/01/2016,22.99,20.20,38.49,19.93,15.49
05/01/2016,19.90,21.30,24.40,18.17,-6.16
04/01/2016,21.21,23.13,24.53,17.84,0.12
03/01/2016,21.18,28.52,28.56,18.42,-24.71
02/01/2016,28.14,26.63,40.08,21.97,7.38
01/01/2016,26.20,25.23,36.28,24.70,16.05
12/01/2015,22.58,22.67,29.98,18.94,-1.27
11/01/2015,22.87,20.97,25.97,18.86,15.36
10/01/2015,19.82,29.51,40.02,18.68,-35.67
09/01/2015,30.82,31.12,34.71,25.69,2.77
08/01/2015,29.98,17.77,45.96,15.81,73.26
07/01/2015,17.31,27.36,131.96,14.76,-37.27
06/01/2015,27.59,19.39,28.12,18.30,43.68
05/01/2015,19.20,22.15,24.66,16.32,-11.85
04/01/2015,21.78,20.48,23.17,10.87,11.16
03/01/2015,19.59,16.27,20.49,15.72,20.85
02/01/2015,16.21,21.20,23.52,15.61,-21.77
01/01/2015,20.72,20.35,35.23,11.11,0.70
12/01/2014,20.58,15.61,29.63,8.92,41.45
11/01/2014,14.55,17.66,19.47,14.18,-14.87
10/01/2014,17.09,13.72,32.84,13.43,29.19
09/01/2014,13.23,13.44,15.13,11.24,0.20
08/01/2014,13.20,15.10,18.02,12.19,-12.87
07/01/2014,15.15,12.26,15.95,10.36,25.07
06/01/2014,12.12,12.51,13.46,10.10,-1.07
05/01/2014,12.25,13.99,16.28,12.01,-12.60
04/01/2014,14.01,14.82,17.69,13.20,-5.81
03/01/2014,14.88,17.28,20.88,14.40,1.21
02/01/2014,14.70,19.62,21.16,14.10,-22.15
01/01/2014,18.88,14.27,21.12,12.06,33.84
12/01/2013,14.11,13.06,16.85,12.63,10.09
11/01/2013,12.81,13.73,15.19,12.47,-6.33
10/01/2013,13.68,16.23,20.05,12.75,-15.92
09/01/2013,16.27,17.73,18.33,13.50,-8.23
08/01/2013,17.73,15.49,112.84,12.15,14.53
07/01/2013,15.48,17.73,21.09,13.48,-12.64
06/01/2013,17.72,15.46,22.46,15.90,14.69
05/01/2013,15.45,15.68,15.87,12.06,-1.47
04/01/2013,15.68,14.03,18.11,13.80,11.76
03/01/2013,14.03,14.98,16.42,11.06,-6.34
02/01/2013,14.98,12.83,17.86,12.07,16.85
01/01/2013,12.82,17.62,15.18,9.68,-27.24
12/01/2012,17.62,14.17,17.62,12.44,29.65
11/01/2012,13.59,16.34,18.03,13.16,-16.06
10/01/2012,16.19,17.13,18.66,10.84,-5.49
09/01/2012,17.13,19.49,21.48,14.35,-12.11
08/01/2012,19.49,21.36,21.81,11.22,-8.75
07/01/2012,21.36,19.30,23.44,15.99,10.66
06/01/2012,19.30,28.80,33.31,19.07,-32.99
