"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2021","21.09","21.09","21.09","21.09","","0.00%"
"12/27/2020","21.09","19.90","21.72","19.90","","6.02%"
"12/20/2020","19.90","22.53","27.73","19.87","","-0.43%"
"12/13/2020","19.98","20.01","22.24","18.81","","-10.00%"
"12/06/2020","22.20","19.96","23.59","18.73","","12.39%"
"11/29/2020","19.75","19.67","21.37","19.43","","5.46%"
"11/22/2020","18.73","19.71","20.64","18.06","","-4.67%"
"11/15/2020","19.65","21.78","22.82","19.02","","-8.86%"
"11/08/2020","21.56","23.39","24.77","19.57","","-11.74%"
"11/01/2020","24.43","33.16","33.76","24.22","","-25.89%"
"10/25/2020","32.96","29.29","37.08","28.34","","22.62%"
"10/18/2020","26.88","23.87","28.91","23.80","","11.59%"
"10/11/2020","24.09","21.13","28.05","20.19","","16.37%"
"10/04/2020","20.70","25.73","26.66","18.64","","-20.18%"
"09/27/2020","25.94","26.12","27.38","24.88","","-4.17%"
"09/20/2020","27.07","25.02","29.14","24.89","","20.28%"
"09/13/2020","22.50","22.59","24.36","20.95","","-2.08%"
"09/06/2020","22.98","27.92","30.50","22.77","","-23.60%"
"08/30/2020","30.08","23.20","31.71","23.00","","25.28%"
"08/23/2020","24.01","22.23","24.46","20.99","","2.51%"
"08/16/2020","23.42","23.48","25.30","21.40","","0.63%"
"08/09/2020","23.27","23.85","25.34","21.28","","-0.45%"
"08/02/2020","23.38","27.02","27.52","22.67","","-10.83%"
"07/26/2020","26.22","24.84","29.55","23.67","","5.28%"
"07/19/2020","24.90","24.41","26.20","20.35","","6.51%"
"07/12/2020","23.38","24.97","28.88","23.36","","-7.30%"
"07/05/2020","25.22","25.84","52.73","12.25","","-5.87%"
"06/28/2020","26.79","33.85","34.25","25.56","","-17.58%"
"06/21/2020","32.51","30.79","36.95","0.00","","9.80%"
"06/14/2020","29.61","42.52","43.06","29.22","","-25.84%"
"06/07/2020","39.93","26.16","41.74","25.58","","45.44%"
"05/31/2020","27.45","29.92","31.54","25.72","","-9.44%"
"05/24/2020","30.32","31.42","32.00","27.02","","-2.71%"
"05/17/2020","31.16","31.56","34.28","28.82","","-11.93%"
"05/10/2020","35.38","29.71","41.44","28.40","","13.52%"
"05/03/2020","31.17","38.61","41.83","29.77","","-10.42%"
"04/26/2020","34.79","41.44","41.44","31.24","","-16.04%"
"04/19/2020","41.44","44.13","50.11","40.66","","-5.23%"
"04/12/2020","43.72","47.06","48.56","42.16","","-9.70%"
"04/05/2020","48.42","44.22","52.02","42.16","","-4.35%"
"03/29/2020","50.62","68.60","73.37","49.58","","-28.60%"
"03/22/2020","70.90","76.97","81.56","56.90","","-3.13%"
"03/15/2020","73.19","94.09","105.48","55.36","","-10.84%"
"03/08/2020","82.09","174.43","174.43","14.60","","93.33%"
"03/01/2020","42.46","35.60","45.23","28.42","","3.31%"
"02/23/2020","41.10","19.39","46.23","19.39","","160.79%"
"02/16/2020","15.76","13.43","16.12","13.00","","21.04%"
"02/09/2020","13.02","13.92","14.44","12.49","","-1.96%"
"02/02/2020","13.28","16.46","16.88","12.81","","-19.95%"
"01/26/2020","16.59","14.10","17.05","13.90","","40.83%"
"01/19/2020","11.78","11.20","12.76","10.84","","10.51%"
"01/12/2020","10.66","11.36","12.39","10.22","","-0.47%"
"01/05/2020","10.71","14.10","15.26","10.10","","-18.06%"
"12/29/2019","13.07","12.22","13.84","12.02","","12.09%"
"12/22/2019","11.66","11.28","11.97","11.06","","8.47%"
"12/15/2019","10.75","11.29","11.81","10.60","","-8.20%"
"12/08/2019","11.71","13.39","51.91","10.99","","-11.29%"
"12/01/2019","13.20","12.12","16.55","7.93","","9.18%"
"11/24/2019","12.09","11.95","1,146.48","10.86","","1.26%"
"11/17/2019","11.94","11.16","13.02","10.95","","10.66%"
"11/10/2019","10.79","11.68","12.35","10.71","","-3.49%"
"11/03/2019","11.18","11.48","12.29","10.44","","-2.61%"
"10/27/2019","11.48","11.84","95.17","11.42","","0.53%"
"10/20/2019","11.42","13.91","14.27","11.34","","-16.82%"
"10/13/2019","13.73","13.95","15.12","11.08","","-1.08%"
"10/06/2019","13.88","17.36","115.89","13.76","","-18.74%"
"09/29/2019","17.08","15.27","60.61","13.24","","18.78%"
"09/22/2019","14.38","13.40","16.57","13.25","","13.05%"
"09/15/2019","12.72","13.33","14.55","12.46","","5.30%"
"09/08/2019","12.08","13.57","14.63","10.97","","-9.78%"
"09/01/2019","13.39","16.17","17.30","13.35","","-16.21%"
"08/25/2019","15.98","19.08","19.72","14.22","","-9.97%"
"08/18/2019","17.75","17.25","17.91","13.46","","-3.95%"
"08/11/2019","18.48","16.54","24.80","12.81","","4.58%"
"08/04/2019","17.67","17.81","20.57","12.11","","5.12%"
"07/28/2019","16.81","12.06","17.63","11.53","","46.05%"
"07/21/2019","11.51","12.44","12.76","10.77","","-4.56%"
"07/14/2019","12.06","11.70","12.63","10.72","","3.97%"
"07/07/2019","11.60","12.36","12.81","11.18","","-1.36%"
"06/30/2019","11.76","11.47","12.11","10.76","","-7.84%"
"06/23/2019","12.76","12.33","13.73","11.93","","4.08%"
"06/16/2019","12.26","12.89","13.29","11.17","","-2.54%"
"06/09/2019","12.58","13.78","13.87","12.42","","-6.81%"
"06/02/2019","13.50","16.86","17.31","13.28","","-14.61%"
"05/26/2019","15.81","14.98","17.03","14.25","","5.54%"
"05/19/2019","14.98","13.07","16.25","13.07","","14.61%"
"05/12/2019","13.07","16.13","18.31","12.87","","-20.69%"
"05/05/2019","16.48","14.47","19.16","13.03","","35.97%"
"04/28/2019","12.12","12.03","12.78","11.70","","3.50%"
"04/21/2019","11.71","11.36","12.67","11.05","","11.74%"
"04/14/2019","10.48","11.10","11.22","10.23","","-1.87%"
"04/07/2019","10.68","12.85","13.51","10.64","","-13.17%"
"03/31/2019","12.30","13.59","14.01","11.85","","-10.42%"
"03/24/2019","13.73","16.65","16.76","13.59","","-12.83%"
"03/17/2019","15.75","12.72","15.81","11.96","","31.14%"
"03/10/2019","12.01","13.15","13.59","11.82","","-7.90%"
"03/03/2019","13.04","12.93","13.79","9.25","","2.68%"
"02/24/2019","12.70","12.72","126.58","12.42","","-0.31%"
"02/17/2019","12.74","13.59","33.85","8.34","","-4.14%"
"02/10/2019","13.29","14.70","26.68","12.87","","-13.14%"
"02/03/2019","15.30","13.53","16.06","12.48","","15.12%"
"01/27/2019","13.29","15.00","15.76","13.27","","-7.64%"
"01/20/2019","14.39","14.66","16.55","14.31","","1.34%"
"01/13/2019","14.20","17.76","18.48","14.06","","-15.48%"
"01/06/2019","16.80","19.22","19.96","16.78","","-11.63%"
"12/30/2018","19.01","22.12","23.23","17.47","","-14.29%"
"12/23/2018","22.18","20.42","24.92","19.95","","16.00%"
"12/16/2018","19.12","18.17","21.39","17.53","","9.19%"
"12/09/2018","17.51","20.66","22.05","17.12","","-11.48%"
"12/02/2018","19.78","14.90","29.06","13.17","","19.01%"
"11/25/2018","16.62","16.94","17.65","16.22","","-4.76%"
"11/18/2018","17.45","15.65","18.88","15.32","","9.82%"
"11/11/2018","15.89","14.26","19.02","14.12","","11.67%"
"11/04/2018","14.23","17.09","17.20","13.53","","-14.99%"
"10/28/2018","16.74","20.45","21.02","15.52","","-20.40%"
"10/21/2018","21.03","16.49","22.91","16.07","","28.55%"
"10/14/2018","16.36","17.89","18.50","14.15","","-8.76%"
"10/07/2018","17.93","14.81","19.33","14.38","","27.07%"
"09/30/2018","14.11","12.71","14.33","11.88","","13.33%"
"09/23/2018","12.45","12.02","13.82","11.41","","9.11%"
"09/16/2018","11.41","12.91","13.41","11.35","","-7.16%"
"09/09/2018","12.29","15.07","15.09","9.81","","-17.79%"
"09/02/2018","14.95","13.44","15.75","12.81","","13.77%"
"08/26/2018","13.14","11.57","13.35","11.13","","14.76%"
"08/19/2018","11.45","13.31","13.32","11.33","","-14.42%"
"08/12/2018","13.38","13.88","16.41","12.40","","8.34%"
"08/05/2018","12.35","11.83","14.13","9.75","","5.74%"
"07/29/2018","11.68","11.49","13.28","11.15","","8.75%"
"07/22/2018","10.74","12.90","13.13","10.58","","-10.57%"
"07/15/2018","12.01","11.61","13.65","10.82","","5.07%"
"07/08/2018","11.43","12.87","13.21","11.13","","-12.21%"
"07/01/2018","13.02","16.18","16.47","12.99","","-8.57%"
"06/24/2018","14.24","13.30","17.06","12.44","","16.43%"
"06/17/2018","12.23","11.89","14.70","11.89","","11.79%"
"06/10/2018","10.94","12.00","12.87","10.09","","-9.74%"
"06/03/2018","12.12","12.79","13.40","11.22","","-8.60%"
"05/27/2018","13.26","13.30","17.88","12.99","","-1.19%"
"05/20/2018","13.42","11.87","14.94","11.31","","13.63%"
"05/13/2018","11.81","11.04","12.81","10.47","","11.00%"
"05/06/2018","10.64","11.57","12.07","10.32","","-6.17%"
"04/29/2018","11.34","12.34","93.03","11.34","","-4.71%"
"04/22/2018","11.90","12.19","13.96","11.42","","3.84%"
"04/15/2018","11.46","12.90","12.96","11.02","","-11.16%"
"04/08/2018","12.90","15.02","15.57","12.79","","-13.77%"
"04/01/2018","14.96","16.49","18.20","14.05","","0.00%"
"03/25/2018","14.96","17.60","19.32","14.69","","-15.38%"
"03/18/2018","17.68","12.38","20.05","12.26","","51.50%"
"03/11/2018","11.67","12.69","14.67","11.44","","-8.25%"
"03/04/2018","12.72","18.71","19.60","5.58","","-35.85%"
"02/25/2018","19.83","14.60","21.37","13.85","","32.46%"
"02/18/2018","14.97","15.10","17.17","14.78","","1.56%"
"02/11/2018","14.74","30.23","30.23","14.63","","-52.77%"
"02/04/2018","31.21","15.67","134.71","14.77","","115.24%"
"01/28/2018","14.50","11.13","14.66","11.13","","36.53%"
"01/21/2018","10.62","10.54","11.19","10.12","","6.20%"
"01/14/2018","10.00","9.71","10.41","9.23","","8.81%"
"01/07/2018","9.19","10.14","10.51","8.97","","-6.89%"
"12/31/2017","9.87","12.69","12.97","9.82","","-18.29%"
"12/24/2017","12.08","11.19","12.35","10.88","","14.83%"
"12/17/2017","10.52","10.45","11.88","9.01","","3.44%"
"12/10/2017","10.17","10.95","11.93","9.97","","-2.31%"
"12/03/2017","10.41","12.17","12.73","10.22","","-25.85%"
"11/26/2017","14.04","78.46","78.46","11.05","","24.47%"
"11/19/2017","11.28","13.33","13.33","10.72","","-11.94%"
"11/12/2017","12.81","12.66","14.60","12.01","","1.26%"
"11/05/2017","12.65","10.90","13.01","10.43","","20.71%"
"10/29/2017","10.48","11.40","11.52","10.47","","-4.12%"
"10/22/2017","10.93","11.00","12.87","10.54","","3.80%"
"10/15/2017","10.53","10.26","11.35","10.02","","8.11%"
"10/08/2017","9.74","10.70","11.55","9.66","","-7.85%"
"10/01/2017","10.57","10.67","11.08","10.23","","0.19%"
"09/24/2017","10.55","10.65","10.94","10.26","","3.94%"
"09/17/2017","10.15","10.41","10.56","9.49","","2.01%"
"09/10/2017","9.95","11.27","11.32","9.71","","-14.00%"
"09/03/2017","11.57","13.69","14.24","11.06","","-4.62%"
"08/27/2017","12.13","13.34","15.60","11.97","","-3.27%"
"08/20/2017","12.54","14.72","15.19","12.19","","-10.49%"
"08/13/2017","14.01","14.35","15.08","11.51","","-10.99%"
"08/06/2017","15.74","11.40","19.27","10.66","","43.48%"
"07/30/2017","10.97","12.05","12.39","10.97","","-7.74%"
"07/23/2017","11.89","13.26","13.35","10.75","","-6.67%"
"07/16/2017","12.74","11.04","13.10","10.50","","19.62%"
"07/09/2017","10.65","13.37","13.58","10.62","","-20.52%"
"07/02/2017","13.40","14.74","14.89","12.81","","-11.67%"
"06/25/2017","15.17","11.79","16.04","11.48","","26.42%"
"06/18/2017","12.00","10.60","13.79","10.45","","5.91%"
"06/11/2017","11.33","11.20","16.48","9.67","","9.89%"
"06/04/2017","10.31","11.14","12.10","9.83","","-4.18%"
"05/28/2017","10.76","11.97","12.52","10.62","","-5.94%"
"05/21/2017","11.44","12.66","13.13","11.20","","-9.57%"
"05/14/2017","12.65","11.79","16.10","11.19","","8.96%"
"05/07/2017","11.61","12.76","12.87","11.41","","-14.76%"
"04/30/2017","13.62","13.41","13.82","12.78","","4.21%"
"04/23/2017","13.07","13.98","15.02","12.19","","-27.43%"
"04/16/2017","18.01","18.80","20.11","17.41","","-2.65%"
"04/09/2017","18.50","16.23","18.82","16.12","","19.43%"
"04/02/2017","15.49","14.32","15.91","14.26","","13.81%"
"03/26/2017","13.61","14.85","14.98","13.39","","2.10%"
"03/19/2017","13.33","11.58","13.76","11.13","","31.46%"
"03/12/2017","10.14","10.02","12.21","10.02","","1.60%"
"03/05/2017","9.98","14.37","14.66","8.87","","-27.68%"
"02/26/2017","13.80","14.64","15.17","13.61","","-4.30%"
"02/19/2017","14.42","13.85","15.75","13.02","","6.11%"
"02/12/2017","13.59","13.63","14.64","13.11","","1.65%"
"02/05/2017","13.37","14.31","16.05","13.31","","-2.48%"
"01/29/2017","13.71","14.85","15.97","13.68","","-3.04%"
"01/22/2017","14.14","14.81","15.77","13.99","","4.35%"
"01/15/2017","13.55","14.42","15.26","13.44","","3.51%"
"01/08/2017","13.09","14.73","15.01","13.09","","-7.36%"
"01/01/2017","14.13","17.40","17.46","14.07","","-14.73%"
"12/25/2016","16.57","14.86","16.69","14.86","","20.07%"
"12/18/2016","13.80","14.20","14.20","13.21","","3.53%"
"12/11/2016","13.33","14.68","15.21","13.20","","-3.68%"
"12/04/2016","13.84","19.34","19.34","13.11","","-30.80%"
"11/27/2016","20.00","18.97","21.26","18.58","","10.38%"
"11/20/2016","18.12","18.70","19.59","17.76","","-1.25%"
"11/13/2016","18.35","19.67","20.91","17.93","","-9.11%"
